Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.0101,1.06866e-11,-57.7632,0,
0.0202,1.06866e-11,-54.3608,0,
0.0303,1.06866e-11,-51.1587,0,
0.0404,1.06866e-11,-48.1452,0,
0.0505,1.06866e-11,-45.3092,0,
0.0606,1.06866e-11,-42.6402,0,
0.0707,1.06866e-11,-40.1283,0,
0.0808,1.06866e-11,-37.7644,0,
0.0909,1.06866e-11,-35.5397,0,
0.101,1.06866e-11,-33.446,0,
0.1111,1.06866e-11,-31.4756,0,
0.1212,1.06866e-11,-29.6213,0,
0.1313,1.06866e-11,-27.8761,0,
0.1414,1.06866e-11,-26.2338,0,
0.1515,1.06866e-11,-24.6881,0,
0.1616,1.06866e-11,-23.2335,0,
0.1717,1.06866e-11,-21.8645,0,
0.1818,1.06866e-11,-20.5762,0,
0.1919,1.06866e-11,-19.3637,0,
0.202,1.06866e-11,-18.2226,0,
0.2121,1.06866e-11,-17.1487,0,
0.2222,1.06866e-11,-16.1381,0,
0.2323,1.06866e-11,-15.187,0,
0.2424,1.06866e-11,-14.2919,0,
0.2525,1.06866e-11,-13.4495,0,
0.2626,1.06866e-11,-12.6567,0,
0.2727,1.06866e-11,-11.9106,0,
0.2828,1.06866e-11,-11.2085,0,
0.2929,1.06866e-11,-10.5477,0,
0.303,1.06866e-11,-9.92576,0,
0.3131,1.06866e-11,-9.34049,0,
0.3232,1.06866e-11,-8.78969,0,
0.3333,1.06866e-11,-8.27133,0,
0.3434,1.06866e-11,-7.78349,0,
0.3535,1.06866e-11,-7.32438,0,
0.3636,1.06866e-11,-6.89231,0,
0.3737,1.06866e-11,-6.48568,0,
0.3838,1.06866e-11,-6.103,0,
0.3939,1.06866e-11,-5.74285,0,
0.404,1.06866e-11,-5.40392,0,
0.4141,1.06866e-11,-5.08494,0,
0.4242,1.06866e-11,-4.78475,0,
0.4343,1.06866e-11,-4.50224,0,
0.4444,1.06866e-11,-4.23636,0,
0.4545,1.06866e-11,-3.98615,0,
0.4646,1.06866e-11,-3.75066,0,
0.4747,1.06866e-11,-3.52905,0,
0.4848,1.06866e-11,-3.32049,0,
0.4949,1.06866e-11,-3.12421,0,
0.505,1.06866e-11,-2.93948,0,
0.5151,1.06866e-11,-2.76564,0,
0.5252,1.06866e-11,-2.60203,0,
0.5353,1.06866e-11,-2.44806,0,
0.5454,1.06866e-11,-2.30316,0,
0.5555,1.06866e-11,-2.16679,0,
0.5656,1.06866e-11,-2.03845,0,
0.5757,1.06866e-11,-1.91767,0,
0.5858,1.06866e-11,-1.804,0,
0.5959,1.06866e-11,-1.69702,0,
0.606,1.06866e-11,-1.59635,0,
0.6161,1.06866e-11,-1.5016,0,
0.6262,1.06866e-11,-1.41244,0,
0.6363,1.06866e-11,-1.32852,0,
0.6464,1.06866e-11,-1.24955,0,
0.6565,1.06866e-11,-1.17523,0,
0.6666,1.06866e-11,-1.10528,0,
0.6767,1.06866e-11,-1.03945,0,
0.6868,1.06866e-11,-0.977504,0,
0.6969,1.06866e-11,-0.919202,0,
0.707,1.06866e-11,-0.864334,0,
0.7171,1.06866e-11,-0.812697,0,
0.7272,1.06866e-11,-0.764101,0,
0.7373,1.06866e-11,-0.718366,0,
0.7474,1.06866e-11,-0.675325,0,
0.7575,1.06866e-11,-0.634819,0,
0.7676,1.06866e-11,-0.596698,0,
0.7777,1.06866e-11,-0.560822,0,
0.7878,1.06866e-11,-0.527059,0,
0.7979,1.06866e-11,-0.495284,0,
0.808,1.06866e-11,-0.46538,0,
0.8181,1.06866e-11,-0.437238,0,
0.8282,1.06866e-11,-0.410752,0,
0.8383,1.06866e-11,-0.385827,0,
0.8484,27.9318,151.797,-40.7884,
0.8585,35.8179,161.683,-42.2191,
0.8686,38.1351,158.825,-41.2266,
0.8787,39.5436,155.004,-38.0495,
0.8888,38.887,148.38,-34.9466,
0.8989,39.2723,143.36,-31.4074,
0.909,35.9345,137.15,-27.6526,
0.9191,30.4757,131.587,-23.2635,
0.9292,25.2759,126.339,-19.2596,
0.9393,21.7361,120.719,-15.5039,
0.9494,18.5255,115.114,-12.7548,
0.9595,15.7763,109.533,-10.81,
0.9696,13.3692,104.169,-9.02592,
0.9797,11.2525,99.0752,-7.20093,
0.9898,9.44967,94.1734,-5.53504,
0.9999,7.80906,89.5291,-3.98596,
1.01,6.47622,85.0391,-2.6081,
1.0201,5.33244,80.7441,-1.38066,
1.0302,4.43487,76.6895,-0.128164,
1.0403,4.17981,73.1673,0.931803,
1.0504,4.38295,70.6545,1.07386,
1.0605,4.58557,68.2785,1.18035,
1.0706,4.93256,66.2603,1.16314,
1.0807,5.45322,64.5486,1.04897,
1.0908,6.08697,63.0384,0.915247,
1.1009,6.81167,61.6877,0.718987,
1.111,7.57299,60.4256,0.449892,
1.1211,8.33727,59.2495,0.149214,
1.1312,9.12506,58.2071,-0.163531,
1.1413,9.90324,57.2701,-0.458434,
1.1514,10.564,56.3575,-0.708592,
1.1615,11.1715,55.5003,-0.936748,
1.1716,11.7352,54.7075,-1.15634,
1.1817,12.22,53.9114,-1.34296,
1.1918,12.6454,53.1171,-1.52451,
1.2019,13.0334,52.3896,-1.72731,
1.212,13.3857,51.7188,-1.93945,
1.2221,13.5553,50.9997,-2.10941,
1.2322,13.7922,50.3661,-2.2375,
1.2423,13.9284,49.7619,-2.36825,
1.2524,13.9119,49.1302,-2.4182,
1.2625,13.8762,48.5385,-2.45119,
1.2726,13.6309,47.8773,-2.43235,
1.2827,13.4528,47.3061,-2.42653,
1.2928,13.2357,46.7545,-2.41612,
1.3029,13.0104,46.2224,-2.4238,
1.313,12.8116,45.7294,-2.45869,
1.3231,12.5714,45.2239,-2.50758,
1.3332,12.3424,44.7334,-2.65913,
1.3433,12.0409,44.1987,-2.8559,
1.3534,11.6582,43.5972,-3.11735,
1.3635,11.2574,42.985,-3.36377,
1.3736,10.8549,42.3816,-3.59113,
1.3837,10.4611,41.7755,-3.76864,
1.3938,10.0935,41.1879,-3.92732,
1.4039,9.64111,40.4152,-4.1754,
1.414,9.29425,39.8299,-4.44785,
1.4241,9.03922,39.3298,-4.71311,
1.4342,8.88425,38.9057,-4.95929,
1.4443,8.77564,38.5338,-5.18219,
1.4544,8.74105,38.2367,-5.35401,
1.4645,8.70035,37.9658,-5.4549,
1.4746,8.69507,37.7391,-5.4995,
1.4847,8.71321,37.5463,-5.49496,
1.4948,8.73885,37.3686,-5.46876,
1.5049,8.77384,37.2048,-5.43841,
1.515,8.81713,37.0592,-5.40786,
1.5251,8.86687,36.9263,-5.37383,
1.5352,8.93449,36.8096,-5.34257,
1.5453,8.99961,36.6926,-5.32055,
1.5554,9.06038,36.5674,-5.29557,
1.5655,9.1252,36.4402,-5.27638,
1.5756,9.19538,36.3161,-5.25661,
1.5857,9.2647,36.1928,-5.24751,
1.5958,9.35695,36.0873,-5.24586,
1.6059,9.46031,35.9898,-5.25295,
1.616,9.57416,35.9007,-5.27975,
1.6261,9.70056,35.8186,-5.32412,
1.6362,9.8424,35.7486,-5.38014,
1.6463,9.99175,35.6803,-5.44411,
1.6564,10.1514,35.6214,-5.51549,
1.6665,10.3055,35.5535,-5.59299,
1.6766,10.4541,35.48,-5.67362,
1.6867,10.6032,35.4084,-5.75391,
1.6968,10.7401,35.3192,-5.82931,
1.7069,10.88,35.2569,-5.91138,
1.717,11.012,35.1804,-5.98349,
1.7271,11.1434,35.1097,-6.0575,
1.7372,11.2605,35.0319,-6.12593,
1.7473,11.3675,34.9486,-6.19883,
1.7574,11.4805,34.8692,-6.27705,
1.7675,11.5839,34.7869,-6.3561,
1.7776,11.6706,34.6917,-6.43015,
1.7877,11.4772,33.9075,-6.34549,
1.7978,10.8013,31.9114,-5.9718,
1.8079,10.1652,30.0328,-5.62012,
1.818,9.56656,28.2649,-5.28915,
1.8281,9.00318,26.6011,-4.97766,
1.8382,8.47298,25.0353,-4.68453,
1.8483,7.974,23.5617,-4.40865,
1.8584,7.50441,22.1749,-4.14903,
1.8685,7.06247,20.8697,-3.90469,
1.8786,6.64656,19.6414,-3.67474,
1.8887,6.25514,18.4855,-3.45833,
1.8988,5.88677,17.3976,-3.25467,
1.9089,5.54009,16.3738,-3.063,
1.919,5.21384,15.4103,-2.88262,
1.9291,4.90679,14.5035,-2.71286,
1.9392,4.61783,13.6501,-2.5531,
1.9493,4.34588,12.847,-2.40275,
1.9594,4.08995,12.0911,-2.26125,
1.9695,3.84909,11.3798,-2.12808,
1.9796,3.62242,10.7104,-2.00276,
1.9897,3.40909,10.0804,-1.88481,
1.9998,3.20833,9.4875,-1.77382,
2.0099,3.01939,8.92951,-1.66936,
2.02,2.84157,8.40438,-1.57105,
2.0301,2.67423,7.91018,-1.47853,
2.0402,2.51675,7.44508,-1.39146,
2.0503,2.36853,7.00737,-1.30951,
2.0604,2.22905,6.59544,-1.23239,
2.0705,2.09778,6.20777,-1.15982,
2.0806,1.97424,5.84293,-1.09152,
2.0907,1.85798,5.49957,-1.02724,
2.1008,1.74856,5.17644,-0.966741,
2.1109,1.64559,4.87233,-0.90981,
2.121,1.54868,4.58613,-0.856231,
2.1311,1.45747,4.31679,-0.805807,
2.1412,1.37164,4.06331,-0.758352,
2.1513,1.29087,3.82475,-0.713693,
2.1614,1.21485,3.60025,-0.671663,
2.1715,1.1433,3.38896,-0.632108,
2.1816,1.07597,3.19012,-0.594883,
2.1917,1.01261,3.00299,-0.55985,
2.2018,0.952976,2.82688,-0.52688,
2.2119,0.896855,2.66114,-0.495852,
2.222,0.844039,2.50516,-0.466651,
2.2321,0.794333,2.35837,-0.43917,
2.2422,0.747555,2.22022,-0.413307,
2.2523,0.703531,2.0902,-0.388967,
2.2624,0.662099,1.96785,-0.366061,
2.2725,0.623108,1.85269,-0.344503,
2.2826,0.586413,1.74432,-0.324215,
2.2927,0.551879,1.64234,-0.305122,
2.3028,0.519378,1.54635,-0.287153,
2.3129,0.488792,1.45603,-0.270243,
2.323,0.460007,1.37102,-0.254328,
2.3331,0.432917,1.29101,-0.239351,
2.3432,0.407422,1.21572,-0.225255,
2.3533,0.383429,1.14486,-0.21199,
2.3634,0.360849,1.07818,-0.199505,
2.3735,0.339598,1.01542,-0.187757,
2.3836,0.319599,0.956356,-0.176699,
2.3937,0.300778,0.900772,-0.166294,
2.4038,0.283065,0.848461,-0.1565,
2.4139,0.266395,0.799231,-0.147284,
2.424,0.250707,0.7529,-0.13861,
2.4341,0.235942,0.709297,-0.130448,
2.4442,0.222048,0.668263,-0.122765,
2.4543,0.208971,0.629644,-0.115536,
2.4644,0.196665,0.593301,-0.108732,
2.4745,0.185083,0.559097,-0.102329,
2.4846,0.174184,0.526908,-0.0963024,
2.4947,0.163926,0.496614,-0.0906311,
2.5048,0.154272,0.468104,-0.0852938,
2.5149,0.145187,0.441273,-0.0802708,
2.525,0.136637,0.416023,-0.0755436,
2.5351,0.12859,0.392259,-0.0710948,
2.5452,0.121017,0.369895,-0.066908,
2.5553,0.113891,0.348848,-0.0629677,
2.5654,0.107184,0.32904,-0.0592595,
2.5755,0.100872,0.310399,-0.0557697,
2.5856,0.0949312,0.292856,-0.0524854,
2.5957,0.0893406,0.276345,-0.0493945,
2.6058,0.0840793,0.260807,-0.0464857,
2.6159,0.0791278,0.246184,-0.0437481,
2.626,0.074468,0.232423,-0.0411718,
2.6361,0.0700825,0.219471,-0.0387471,
2.6462,0.0659553,0.207283,-0.0364653,
2.6563,0.0620712,0.195812,-0.0343178,
2.6664,0.0584158,0.185016,-0.0322968,
2.6765,0.0549756,0.174857,-0.0303949,
2.6866,0.0517381,0.165296,-0.0286049,
2.6967,0.0486912,0.156297,-0.0269203,
2.7068,0.0458238,0.147829,-0.025335,
2.7169,0.0431252,0.13986,-0.023843,
2.727,0.0405855,0.132359,-0.0224389,
2.7371,0.0381954,0.125301,-0.0211174,
2.7472,0.0359461,0.118658,-0.0198738,
2.7573,0.0338292,0.112406,-0.0187034,
2.7674,0.031837,0.106523,-0.017602,
2.7775,0.0299621,0.100986,-0.0165654,
2.7876,0.0281976,0.0957746,-0.0155899,
2.7977,0.026537,0.0908705,-0.0146718,
2.8078,0.0249743,0.0862552,-0.0138077,
2.8179,0.0235035,0.0819118,-0.0129946,
2.828,0.0221194,0.0778241,-0.0122293,
2.8381,0.0208168,0.0739771,-0.0115091,
2.8482,0.0195909,0.0703567,-0.0108314,
2.8583,0.0184371,0.0669495,-0.0101935,
2.8684,0.0173514,0.0637429,-0.0095932,
