Time,FP_RearRight_Fx,FP_RearRight_Fy,FP_RearRight_Fz,
0.01,7.04858e-12,-52.5497,7.04858e-12,
0.02,7.04858e-12,-45.1996,7.04858e-12,
0.03,7.04858e-12,-38.8773,-1.42109e-11,
0.04,7.04858e-12,-33.4391,7.04858e-12,
0.05,7.04858e-12,-28.7614,7.04858e-12,
0.06,7.04858e-12,-24.7377,7.04858e-12,
0.07,1.00181e-09,-25491.9,-24819.8,
0.08,-196.888,10668.9,-27504,
0.09,-2037.36,7592,-11079.5,
0.1,-754.279,-2126.28,-2727.64,
0.11,-4291.37,-93456.8,-28632.5,
0.12,-25815.4,-82832.2,-4343.51,
0.13,-82972.1,-99764.8,-1509.38,
0.14,-72402.6,-96652.9,-13782.9,
0.15,-81507.7,-91964.8,5562.53,
0.16,-114827,-82578.5,-14280.3,
0.17,-107933,-59517.7,-20939.2,
0.18,-112326,-51510.3,-24954.3,
0.19,-112285,-45069.7,-44422.6,
0.2,-77732.7,-74690.8,-33228.6,
0.21,-64927.3,-66523.5,-27803.6,
0.22,-68966.8,-92615.7,-10841.8,
0.23,-55569,-74169.2,-7063.21,
0.24,-37374.5,-97971.7,6107.29,
0.25,12300.8,-104716,3245.57,
0.26,12627.6,-75472.6,-652.631,
0.27,11125.4,-100296,-14280.9,
0.28,13408.6,-112108,-19105.4,
0.29,18330.2,-111576,-17833.9,
0.3,19687,-109235,-18872.7,
0.31,21050.5,-105434,-19924.6,
0.32,19776.1,-94984.3,-17896.9,
0.33,8906.37,-104816,-17502.3,
0.34,11089.9,-106594,-18381.6,
0.35,9134.64,-88531,-16085.3,
0.36,-5650.84,-111823,-18974.1,
0.37,-380.056,-97061.7,-14607.4,
0.38,3978.42,-104453,-15032.8,
0.39,2401.5,-112321,43116.7,
0.4,2182,-105480,57028.4,
0.41,383.968,-112521,48143.6,
0.42,1985.1,-111715,40598,
0.43,4164.09,-109178,34239,
0.44,6343.12,-103595,30253.5,
0.45,5214.55,-94921.9,24737,
0.46,6149.1,-99157.1,20658,
0.47,4331.99,-88971.6,17357.3,
0.48,-1404.84,-93091.4,14605.2,
0.49,-1531.24,-99683.2,18439.8,
0.5,-3494.67,-106105,21159.6,
0.51,7452.68,-105130,76422,
0.52,888.589,-105629,65651.5,
0.53,-755.739,-83823.8,79810,
0.54,-10605.8,-100616,58298.8,
0.55,-4857.66,-91175.4,62707,
0.56,-9712.07,-86632.2,78306.1,
0.57,-23040.5,-95894.3,57279,
0.58,-15857.9,-113716,35259,
0.59,-18399.4,-105456,33586.7,
0.6,-21513.3,-97334.2,31466.4,
0.61,-22245.2,-88277.9,28549.4,
0.62,-15854.4,-89880.6,5084.35,
0.63,-22572.7,-89554.1,9067.76,
0.64,-1951.12,-95137.8,8227.55,
0.65,21376,-113027,18735.2,
0.66,16530.1,-93292,59122.7,
0.67,6580,-92132.4,73872.6,
0.68,6800.8,-95442.6,65421.2,
0.69,6775.14,-96914,55495.2,
0.7,6754.59,-95433.5,45064.6,
0.71,6311.17,-90539,35266.8,
0.72,5487.05,-83207.2,28061.2,
0.73,500.202,-37200,-8838.66,
0.74,-5226.86,-97890.7,-20367.1,
0.75,22209,-115919,-13351.9,
0.76,20234.4,-106628,-16283.3,
0.77,18821.5,-95094.1,-12403.2,
0.78,3948.14,-93668.4,-25230,
0.79,5131.82,-35223.8,3158.2,
0.8,-3360.73,-82002.3,15827.8,
0.81,17526.1,-86001.5,6128.22,
0.82,13540.6,-91033,6707.14,
0.83,22728.9,-85917.6,8504.57,
0.84,21849.8,-112038,18154.5,
0.85,17533.3,-90134.2,-5295.5,
0.86,14184.2,-33448.8,-16986.9,
0.87,15615.8,-52928.7,-10080.9,
0.88,476.523,-86803.7,1515.74,
0.89,-13953.4,-91021.1,-3602.41,
0.9,12341.7,-53290.8,-12723.4,
0.91,24563.5,-83867.1,-26708.5,
0.92,29355.5,-88635.3,-4485.73,
0.93,35154.5,-86306,-1899.28,
0.94,42072.7,-103633,-17725.6,
0.95,18902.1,-110209,-4986.9,
0.96,15900.1,-103619,-25053.7,
0.97,19953.7,-118829,13703.1,
0.98,1224.54,-120248,16919.9,
0.99,912.354,-101094,13755.5,
1,15405.2,-116093,16652.9,
1.01,17634.9,-103871,22389.8,
1.02,9770.27,-108117,16922.8,
1.03,10282.5,-105871,16365.6,
1.04,9894.34,-100637,18070.5,
1.05,8527.98,-90801.9,18638.7,
1.06,32666.7,-117078,5235.54,
1.07,36463.3,-114436,20427.1,
1.08,66963.3,-97293.6,39693.7,
1.09,66562.8,-97524.3,34577.6,
1.1,59570.3,-93271.7,29133.3,
1.11,61472.7,-85382.2,10226.9,
1.12,57997.5,-111598,8115.33,
1.13,97080.7,-88039.5,-16705.2,
1.14,85211.4,-101560,19163.5,
1.15,72118.9,-96939.2,17831.7,
1.16,25694.5,-110776,31158.7,
1.17,12275,-92495.8,23583.2,
1.18,23405.2,-107436,652.849,
1.19,10206.7,-90657,-5323.61,
1.2,3944,-101629,-11952.4,
1.21,3918.05,-112811,-10178.7,
1.22,1197.73,-111497,-4376.78,
1.23,-2584.6,-107691,781.636,
1.24,-4940.83,-99457.9,4222.33,
1.25,-3899.69,-83147.7,3336.93,
1.26,-3724.49,-102490,-7578.29,
1.27,-1494.32,-106047,24775.9,
1.28,616.881,-113005,-10231.4,
1.29,-45147.8,-107557,2724.83,
1.3,-34607.5,-97052.7,7212.25,
1.31,-26452.7,-98246.6,7271.22,
1.32,-27270.2,-101963,10720.1,
1.33,-30289.4,-100323,1680.86,
1.34,-34064.4,-107691,5347.49,
1.35,-40086.9,-103973,-1122.31,
1.36,-18224.8,-105533,-42823.9,
1.37,-15455.5,-110712,-36222.3,
1.38,-11953.2,-110138,-27904.7,
1.39,-10963,-105242,-22875.1,
1.4,-4265.71,-120513,-26147,
1.41,709.97,-100549,-31505.7,
1.42,-8282.71,-116426,-41490.7,
1.43,10603.9,-110355,-47915.1,
1.44,46454.7,-108581,-37362.1,
1.45,53092.8,-110600,-15922.5,
1.46,22002.4,-105708,15111.5,
1.47,27089.7,-109757,1748.1,
1.48,24460.7,-100458,-655.818,
1.49,20706.6,-110996,456.333,
1.5,13602.1,-108121,-3291.46,
1.51,7294.52,-99007.1,-3070.49,
1.52,2757.39,-86174,-1216.39,
1.53,-390.286,-107361,9347.97,
1.54,932.351,-94834.8,8607.12,
1.55,4988.5,-105833,1022.48,
1.56,4858.05,-110632,-3249.41,
1.57,6044.12,-109733,1869.17,
1.58,8371.23,-108409,7016.02,
1.59,10569.4,-100955,8898.24,
1.6,7528.39,-93933.3,8850.21,
1.61,6911.63,-104477,15701.5,
1.62,17357.8,-93967.4,27985.1,
1.63,13291.3,-92063.5,22894.5,
1.64,23859.6,-107732,9817.91,
1.65,20303.1,-93720.3,8842.67,
1.66,21461.2,-93196.5,-1223.73,
1.67,21323.6,-106848,-3258.57,
