Time,FP_FrontLeft_Fx,FP_FrontLeft_Fy,FP_FrontLeft_Fz,
0.0101,-1.06866e-11,-57.7632,0,
0.0202,-1.06866e-11,-54.3608,0,
0.0303,-1.06866e-11,-51.1587,0,
0.0404,-1.06866e-11,-48.1452,0,
0.0505,-1.06866e-11,-45.3092,0,
0.0606,-1.06866e-11,-42.6402,0,
0.0707,-1.06866e-11,-40.1283,0,
0.0808,-1.06866e-11,-37.7644,0,
0.0909,-1.06866e-11,-35.5397,0,
0.101,-1.06866e-11,-33.446,0,
0.1111,-1.06866e-11,-31.4756,0,
0.1212,-1.06866e-11,-29.6213,0,
0.1313,-1.06866e-11,-27.8761,0,
0.1414,-1.06866e-11,-26.2338,0,
0.1515,-1.06866e-11,-24.6881,0,
0.1616,-1.06866e-11,-23.2335,0,
0.1717,-1.06866e-11,-21.8645,0,
0.1818,-1.06866e-11,-20.5762,0,
0.1919,-1.06866e-11,-19.3637,0,
0.202,-1.06866e-11,-18.2226,0,
0.2121,-1.06866e-11,-17.1487,0,
0.2222,-1.06866e-11,-16.1381,0,
0.2323,-1.06866e-11,-15.187,0,
0.2424,-1.06866e-11,-14.2919,0,
0.2525,-1.06866e-11,-13.4495,0,
0.2626,-1.06866e-11,-12.6567,0,
0.2727,-1.06866e-11,-11.9106,0,
0.2828,-1.06866e-11,-11.2085,0,
0.2929,-1.06866e-11,-10.5477,0,
0.303,-1.06866e-11,-9.92576,0,
0.3131,-1.06866e-11,-9.34049,0,
0.3232,-1.06866e-11,-8.78969,0,
0.3333,-1.06866e-11,-8.27133,0,
0.3434,-1.06866e-11,-7.78349,0,
0.3535,-1.06866e-11,-7.32438,0,
0.3636,-1.06866e-11,-6.89231,0,
0.3737,-1.06866e-11,-6.48568,0,
0.3838,-1.06866e-11,-6.103,0,
0.3939,-1.06866e-11,-5.74285,0,
0.404,-1.06866e-11,-5.40392,0,
0.4141,-1.06866e-11,-5.08494,0,
0.4242,-1.06866e-11,-4.78475,0,
0.4343,-1.06866e-11,-4.50224,0,
0.4444,-1.06866e-11,-4.23636,0,
0.4545,-1.06866e-11,-3.98615,0,
0.4646,-1.06866e-11,-3.75066,0,
0.4747,-1.06866e-11,-3.52905,0,
0.4848,-1.06866e-11,-3.32049,0,
0.4949,-1.06866e-11,-3.12421,0,
0.505,-1.06866e-11,-2.93948,0,
0.5151,-1.06866e-11,-2.76564,0,
0.5252,-1.06866e-11,-2.60203,0,
0.5353,-1.06866e-11,-2.44806,0,
0.5454,-1.06866e-11,-2.30316,0,
0.5555,-1.06866e-11,-2.16679,0,
0.5656,5.87594,47.901,-0.14306,
0.5757,4.3106,55.5101,-0.0381966,
0.5858,3.71382,54.8234,-0.0331782,
0.5959,3.27057,53.2881,-0.0295097,
0.606,2.73515,52.746,-0.0255841,
0.6161,2.21571,52.3561,-0.026521,
0.6262,1.74438,51.8592,-0.0250964,
0.6363,1.41148,50.56,-0.0237344,
0.6464,1.08168,49.4646,-0.0220484,
0.6565,0.789737,48.292,-0.0196862,
0.6666,0.559726,46.8504,-0.0175313,
0.6767,0.370883,45.2832,-0.0125151,
0.6868,0.217402,43.6193,-0.0068079,
0.6969,0.0698719,42.0754,0.00126047,
0.707,0.0405485,39.7924,0.00422206,
0.7171,0.110803,38.0453,0.0151317,
0.7272,0.201873,36.6145,0.0216091,
0.7373,0.320939,35.5462,0.0274555,
0.7474,0.44533,34.6545,0.0241226,
0.7575,0.539347,33.6309,0.0174915,
0.7676,0.636446,32.754,0.00385395,
0.7777,0.71744,31.8601,-0.0178542,
0.7878,0.804491,31.1381,-0.050206,
0.7979,0.923458,30.7542,-0.0771389,
0.808,1.04298,30.444,-0.093697,
0.8181,1.10363,29.6989,-0.092182,
0.8282,1.02237,29.0276,-0.00569157,
0.8383,0.80532,28.5464,0.0546123,
0.8484,0.580535,28.1948,0.0783637,
0.8585,0.377831,27.7948,0.0907519,
0.8686,0.181977,27.4596,0.0957019,
0.8787,-0.00601182,27.1768,0.0934583,
0.8888,-0.188427,26.9556,0.0876598,
0.8989,-0.363035,26.7713,0.0803989,
0.909,-0.524688,26.5796,0.0722594,
0.9191,-0.674175,26.3806,0.0634364,
0.9292,-0.810801,26.1621,0.0553204,
0.9393,-0.937303,25.9394,0.0487887,
0.9494,-1.05267,25.6996,0.0444415,
0.9595,-1.15984,25.4614,0.0423607,
0.9696,-1.25778,25.2134,0.042676,
0.9797,-1.34971,24.9763,0.0453546,
0.9898,-1.43891,24.7733,0.0489771,
0.9999,-1.52427,24.5944,0.051622,
1.01,-1.60934,24.4662,0.0502286,
1.0201,-1.69108,24.3637,0.0442214,
1.0302,-1.76696,24.2639,0.0355491,
1.0403,-1.83748,24.1674,0.0249143,
1.0504,-1.90381,24.0783,0.014128,
1.0605,-1.96324,23.9724,0.00380154,
1.0706,-2.01547,23.8406,-0.00355243,
1.0807,-2.06631,23.7199,-0.00394628,
1.0908,-2.11425,23.6006,0.019421,
1.1009,-2.08178,23.4962,0.0632274,
1.111,-2.02339,23.423,0.0609014,
1.1211,-1.96476,23.3157,0.0686086,
1.1312,-1.91299,23.2212,0.0687806,
1.1413,-1.85607,23.1363,0.059232,
1.1514,-1.78944,23.0546,0.0385494,
1.1615,-1.70007,22.9465,0.0336691,
1.1716,-1.58621,22.8142,0.0309941,
1.1817,-1.44274,22.6464,0.0158829,
1.1918,-1.28844,22.4746,0.00101509,
1.2019,-1.1244,22.2893,-0.00604948,
1.212,-0.960231,22.1074,-0.0102469,
1.2221,-0.795444,21.9171,-0.010494,
1.2322,-0.647633,21.7489,-0.0150372,
1.2423,-0.507579,21.5817,-0.0169338,
1.2524,-0.377644,21.4241,-0.0177263,
1.2625,-0.259127,21.278,-0.0191525,
1.2726,-0.158512,21.152,-0.0173294,
1.2827,-0.079181,21.0602,-0.0266388,
1.2928,-0.0183781,20.9847,-0.014168,
1.3029,0.0156055,20.9251,-0.0252677,
1.313,0.0230236,20.9023,-0.0335166,
1.3231,0.00889112,20.9009,-0.0326499,
1.3332,-0.0289611,20.9246,-0.0354839,
1.3433,-0.0768887,20.9498,-0.0326535,
1.3534,-0.129632,20.9858,-0.029981,
1.3635,-0.184316,21.0285,-0.0266007,
1.3736,-0.23214,21.0728,-0.0256121,
1.3837,-0.280396,21.1193,-0.0234231,
1.3938,-0.321309,21.1561,-0.0202534,
1.4039,-0.348374,21.1746,-0.0193475,
1.414,-0.364271,21.1759,-0.0173962,
1.4241,-0.371424,21.1746,-0.0157628,
1.4342,-0.359244,21.1576,-0.0149658,
1.4443,-0.327009,21.1209,-0.00280269,
1.4544,-0.271724,21.068,0.0276574,
1.4645,-0.206497,21.0054,0.0457511,
1.4746,-0.130593,20.9275,0.0820756,
1.4847,-0.0460574,20.8388,0.0897824,
1.4948,0.0355173,20.7513,0.0840628,
1.5049,0.117476,20.6594,0.0777927,
1.515,0.194111,20.5784,0.0716635,
1.5251,0.265135,20.498,0.0659293,
1.5352,0.329312,20.4297,0.0606578,
1.5453,0.379734,20.3757,0.0708412,
1.5554,0.419094,20.3344,0.0820445,
1.5655,0.436073,20.3168,0.0791759,
1.5756,0.4299,20.3108,0.102324,
1.5857,0.409992,20.3256,0.0946372,
1.5958,0.374525,20.3478,0.0904567,
1.6059,0.325134,20.386,0.085201,
1.616,0.26949,20.4374,0.0790148,
1.6261,0.209265,20.4975,0.0764443,
1.6362,0.149485,20.5568,0.0711412,
1.6463,0.0930269,20.6131,0.0702066,
1.6564,0.0396905,20.6682,0.0663032,
1.6665,-0.00622732,20.7062,0.0642626,
1.6766,-0.0447023,20.7413,0.0627628,
1.6867,-0.0680787,20.7582,0.0599751,
1.6968,-0.0779343,20.7668,0.0576972,
1.7069,-0.0699374,20.7606,0.0514838,
1.717,-0.0434419,20.736,0.0760358,
1.7271,-0.00432917,20.7057,0.105574,
1.7372,0.0456593,20.6563,0.132241,
1.7473,0.104727,20.5969,0.149407,
1.7574,0.166275,20.5295,0.154565,
1.7675,0.231029,20.4646,0.155131,
1.7776,0.28947,20.404,0.138282,
1.7877,0.345287,20.3479,0.124112,
1.7978,0.397255,20.2943,0.135916,
1.8079,0.443452,20.2495,0.171068,
1.818,0.471518,20.2235,0.166086,
1.8281,0.484967,20.2055,0.177379,
1.8382,0.479862,20.2112,0.196583,
1.8483,0.463672,20.224,0.190182,
1.8584,0.430185,20.2462,0.178726,
1.8685,0.384463,20.2862,0.168193,
1.8786,0.336247,20.3347,0.157388,
1.8887,0.279924,20.3912,0.148441,
1.8988,0.223711,20.4508,0.140302,
1.9089,0.166966,20.5115,0.130739,
1.919,0.114948,20.5561,0.127505,
1.9291,0.0667385,20.6038,0.119405,
1.9392,0.0243158,20.6408,0.113664,
1.9493,-0.00346766,20.6689,0.10638,
1.9594,-0.0166826,20.6799,0.101651,
1.9695,-0.0137077,20.6742,0.0970928,
1.9796,0.000373867,20.6644,0.104859,
1.9897,0.027949,20.6407,0.13054,
1.9998,0.067877,20.6069,0.157284,
2.0099,0.116756,20.5578,0.172481,
2.02,0.172184,20.4988,0.189422,
2.0301,0.225061,20.4448,0.191009,
2.0402,0.27798,20.3922,0.191569,
2.0503,0.327451,20.3448,0.199529,
2.0604,0.376362,20.2917,0.20166,
2.0705,0.417766,20.2507,0.207534,
2.0806,0.444403,20.2293,0.204579,
2.0907,0.458764,20.2113,0.207574,
2.1008,0.456392,20.2123,0.227434,
2.1109,0.444358,20.221,0.223012,
2.121,0.416247,20.2438,0.207635,
2.1311,0.377166,20.2737,0.194857,
2.1412,0.333165,20.3201,0.183108,
2.1513,0.28647,20.364,0.176174,
2.1614,0.232146,20.4181,0.165023,
2.1715,0.179289,20.4762,0.15308,
2.1816,0.130438,20.5248,0.143427,
2.1917,0.0841521,20.566,0.137323,
2.2018,0.0465366,20.6012,0.131904,
2.2119,0.0157126,20.63,0.123807,
2.222,0.00173892,20.6441,0.117555,
2.2321,-0.00011574,20.646,0.112049,
2.2422,0.0102128,20.6386,0.110795,
2.2523,0.0329048,20.6192,0.130288,
2.2624,0.064444,20.5893,0.159555,
2.2725,0.108214,20.5468,0.180442,
2.2826,0.154256,20.4994,0.185412,
2.2927,0.202066,20.4516,0.191308,
2.3028,0.248519,20.4022,0.177781,
2.3129,0.298731,20.3531,0.18193,
2.323,0.34136,20.3129,0.178112,
2.3331,0.378063,20.2734,0.178166,
2.3432,0.40382,20.252,0.173567,
2.3533,0.420289,20.2367,0.183416,
2.3634,0.418255,20.2369,0.198308,
2.3735,0.406794,20.2409,0.203448,
2.3836,0.386577,20.2582,0.190603,
2.3937,0.354012,20.2864,0.179709,
2.4038,0.313232,20.3238,0.167352,
2.4139,0.26763,20.3722,0.155241,
2.424,0.224207,20.4168,0.14713,
2.4341,0.175066,20.4655,0.137406,
2.4442,0.127868,20.512,0.127927,
2.4543,0.0832013,20.5564,0.1203,
2.4644,0.0470196,20.5872,0.116412,
2.4745,0.0187805,20.6157,0.108133,
2.4846,0.0019487,20.6304,0.101308,
2.4947,0.000113925,20.6364,0.0952985,
2.5048,0.0061677,20.6312,0.099788,
2.5149,0.0229504,20.6173,0.110975,
2.525,0.0460423,20.6004,0.133845,
2.5351,0.083173,20.5572,0.155265,
2.5452,0.126538,20.5108,0.168057,
2.5553,0.17092,20.4678,0.174794,
2.5654,0.20992,20.4296,0.163761,
2.5755,0.253481,20.3875,0.152596,
2.5856,0.296499,20.3461,0.157172,
2.5957,0.334781,20.3061,0.160203,
2.6058,0.358105,20.2846,0.151959,
2.6159,0.370026,20.2773,0.130435,
2.626,0.37532,20.2638,0.0964132,
2.6361,0.368289,20.2675,0.105759,
2.6462,0.351955,20.2799,0.101711,
2.6563,0.322364,20.3025,0.0951682,
2.6664,0.289932,20.3404,0.0873189,
2.6765,0.252757,20.378,0.0823288,
2.6866,0.212612,20.4162,0.0779485,
2.6967,0.168769,20.4615,0.0709056,
2.7068,0.124127,20.5053,0.0650214,
2.7169,0.0833768,20.5456,0.060607,
2.727,0.0475851,20.5769,0.0587086,
2.7371,0.02379,20.6001,0.0551541,
2.7472,0.00543911,20.6149,0.0525314,
2.7573,3.38066e-05,20.6223,0.0498342,
2.7674,0.00269883,20.6199,0.0507007,
2.7775,0.0183972,20.6026,0.0466925,
2.7876,0.0426624,20.5793,0.019802,
2.7977,0.0728173,20.5511,-0.0110176,
2.8078,0.108507,20.5146,-0.0467957,
2.8179,0.148105,20.4722,-0.0776808,
2.828,0.18974,20.4327,-0.104088,
2.8381,0.229239,20.3927,-0.120514,
2.8482,0.268117,20.36,-0.13905,
2.8583,0.302179,20.3255,-0.150921,
2.8684,0.330522,20.2904,-0.179832,
2.8785,0.348391,20.2686,-0.206575,
2.8886,0.351504,20.2681,-0.232738,
2.8987,0.342784,20.2737,-0.24673,
2.9088,0.331447,20.2772,-0.24024,
2.9189,0.314259,20.2918,-0.227239,
2.929,0.287834,20.3216,-0.21652,
2.9391,0.25095,20.3641,-0.206803,
2.9492,0.215471,20.4043,-0.194944,
2.9593,0.178251,20.442,-0.182219,
2.9694,0.141358,20.4726,-0.172944,
2.9795,0.104975,20.5068,-0.163168,
2.9896,0.072655,20.5387,-0.150974,
2.9997,0.0455115,20.5666,-0.141404,
3.0098,0.0288141,20.5828,-0.133157,
3.0199,0.0248828,20.5895,-0.125232,
3.03,0.0298926,20.5802,-0.11163,
3.0401,0.0393549,20.5782,-0.093166,
3.0502,0.0533178,20.5681,-0.0716342,
3.0603,0.0794131,20.5405,-0.0365424,
3.0704,0.113096,20.5052,-0.0349323,
3.0805,0.149376,20.4666,-0.0304043,
3.0906,0.184192,20.4287,-0.0236128,
3.1007,0.217418,20.4032,-0.0201972,
3.1108,0.252364,20.3711,-0.0100065,
3.1209,0.285389,20.3326,-0.00823265,
3.131,0.311385,20.3073,-0.00458141,
3.1411,0.328738,20.2911,-0.0058168,
3.1512,0.331729,20.2866,-0.0373218,
3.1613,0.328834,20.288,-0.0604357,
3.1714,0.319579,20.2975,-0.0729318,
3.1815,0.304011,20.3073,-0.0649618,
3.1916,0.277883,20.327,-0.0613155,
3.2017,0.248291,20.3609,-0.0585838,
3.2118,0.216112,20.3953,-0.0536005,
3.2219,0.180987,20.4295,-0.0503604,
3.232,0.145497,20.4641,-0.0502402,
3.2421,0.111017,20.4967,-0.0507283,
3.2522,0.0856215,20.5193,-0.0449515,
3.2623,0.0577697,20.5483,-0.0400677,
3.2724,0.0396341,20.5653,-0.0380068,
3.2825,0.0292249,20.5762,-0.0360047,
3.2926,0.0346158,20.5738,-0.0284138,
3.3027,0.0453146,20.5669,-0.0265171,
