Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.0101,-3.52429e-12,-57.4577,7.10543e-12,
0.0202,-3.52429e-12,-53.704,7.10543e-12,
0.0303,-3.52429e-12,-50.1955,7.10543e-12,
0.0404,-3.52429e-12,-46.9162,7.10543e-12,
0.0505,-3.52429e-12,-43.851,7.10543e-12,
0.0606,-3.52429e-12,-40.9861,7.10543e-12,
0.0707,-3.52429e-12,-38.3082,7.10543e-12,
0.0808,-3.52429e-12,-35.8053,7.10543e-12,
0.0909,-3.52429e-12,-33.4658,7.10543e-12,
0.101,-3.52429e-12,-31.2792,7.10543e-12,
0.1111,-3.52429e-12,-29.2354,7.10543e-12,
0.1212,-3.52429e-12,-27.325,7.10543e-12,
0.1313,-3.52429e-12,-25.5395,7.10543e-12,
0.1414,-3.52429e-12,-23.8705,7.10543e-12,
0.1515,-3.52429e-12,-22.3106,7.10543e-12,
0.1616,-3.52429e-12,-20.8526,7.10543e-12,
0.1717,-3.52429e-12,-19.4898,7.10543e-12,
0.1818,-3.52429e-12,-18.216,7.10543e-12,
0.1919,-3.52429e-12,-17.0254,7.10543e-12,
0.202,-3.52429e-12,-15.9125,7.10543e-12,
0.2121,-3.52429e-12,-14.8724,7.10543e-12,
0.2222,-3.52429e-12,-13.9002,7.10543e-12,
0.2323,-3.52429e-12,-12.9915,7.10543e-12,
0.2424,-3.52429e-12,-12.1421,7.10543e-12,
0.2525,-3.52429e-12,-11.3482,7.10543e-12,
0.2626,-3.52429e-12,-10.6062,7.10543e-12,
0.2727,-3.52429e-12,-9.91264,7.10543e-12,
0.2828,-3.52429e-12,-9.26437,7.10543e-12,
0.2929,-3.52429e-12,-8.65845,7.10543e-12,
0.303,-3.52429e-12,-8.0921,7.10543e-12,
0.3131,-3.52429e-12,-7.56275,7.10543e-12,
0.3232,-3.52429e-12,-7.06797,7.10543e-12,
0.3333,-3.52429e-12,-6.60551,7.10543e-12,
0.3434,-3.52429e-12,-6.17325,7.10543e-12,
0.3535,-3.52429e-12,-5.76923,7.10543e-12,
0.3636,-3.52429e-12,-5.39159,7.10543e-12,
0.3737,-3.52429e-12,-5.03862,7.10543e-12,
0.3838,-3.52429e-12,-4.70871,7.10543e-12,
0.3939,-3.52429e-12,-4.40034,7.10543e-12,
0.404,-3.52429e-12,-4.11211,7.10543e-12,
0.4141,-3.52429e-12,-3.84271,7.10543e-12,
0.4242,-3.52429e-12,-3.59091,7.10543e-12,
0.4343,-3.52429e-12,-3.35555,7.10543e-12,
0.4444,-3.52429e-12,-3.13557,7.10543e-12,
0.4545,-3.52429e-12,-2.92995,7.10543e-12,
0.4646,-3.52429e-12,-2.73776,7.10543e-12,
0.4747,-3.52429e-12,-2.55813,7.10543e-12,
0.4848,-3.52429e-12,-2.39023,7.10543e-12,
0.4949,-3.52429e-12,-2.23329,7.10543e-12,
0.505,-3.52429e-12,-2.08661,7.10543e-12,
0.5151,-3.52429e-12,-1.9495,7.10543e-12,
0.5252,-3.52429e-12,-1.82135,7.10543e-12,
0.5353,-3.52429e-12,-1.70158,7.10543e-12,
0.5454,-3.52429e-12,-1.58962,7.10543e-12,
0.5555,-3.52429e-12,-1.48498,7.10543e-12,
0.5656,-3.52429e-12,-1.38717,7.10543e-12,
0.5757,-3.52429e-12,-1.29575,7.10543e-12,
0.5858,-3.52429e-12,-1.2103,7.10543e-12,
0.5959,-3.52429e-12,-1.13043,7.10543e-12,
0.606,-3.52429e-12,-1.05578,7.10543e-12,
0.6161,-3.52429e-12,-0.986007,7.10543e-12,
0.6262,-3.52429e-12,-0.920789,7.10543e-12,
0.6363,-3.52429e-12,-0.859831,7.10543e-12,
0.6464,-3.52429e-12,-0.802855,7.10543e-12,
0.6565,-3.52429e-12,-0.749599,7.10543e-12,
0.6666,-3.52429e-12,-0.699823,7.10543e-12,
0.6767,-3.52429e-12,-0.653297,3.52429e-12,
0.6868,-3.52429e-12,-0.60981,3.52429e-12,
0.6969,-3.52429e-12,-0.569164,3.52429e-12,
0.707,-3.52429e-12,-0.531172,3.52429e-12,
0.7171,-3.52429e-12,-0.495662,3.52429e-12,
0.7272,-3.52429e-12,-0.462472,3.52429e-12,
0.7373,-3.52429e-12,-0.431449,3.52429e-12,
0.7474,-3.52429e-12,-0.402452,3.52429e-12,
0.7575,-3.52429e-12,-0.375349,3.52429e-12,
0.7676,-3.52429e-12,-0.350017,3.52429e-12,
0.7777,-3.52429e-12,-0.326339,-7.10543e-12,
0.7878,-3.52429e-12,-0.304208,-7.10543e-12,
0.7979,-3.52429e-12,-0.283522,-7.10543e-12,
0.808,-3.52429e-12,-0.264187,-7.10543e-12,
0.8181,-3.52429e-12,-0.246115,-7.10543e-12,
0.8282,-3.52429e-12,-0.229224,-7.10543e-12,
0.8383,-3.52429e-12,-0.213435,-7.10543e-12,
0.8484,5.55575,84.7725,13.0639,
0.8585,9.89051,86.8314,23.3893,
0.8686,-7.12003,99.3604,27.3975,
0.8787,-13.0046,100.316,25.1101,
0.8888,-14.339,95.7705,22.6995,
0.8989,-12.9576,89.516,20.4864,
0.909,-11.6944,83.6701,18.4892,
0.9191,-10.5543,78.206,16.6867,
0.9292,-15.1981,76.3855,10.2737,
0.9393,-19.0912,76.206,7.71022,
0.9494,-20.5282,75.7785,7.5648,
0.9595,-21.721,75.583,8.41921,
0.9696,-22.4661,74.6972,9.03235,
0.9797,-23.0407,74.2396,10.3355,
0.9898,-23.0976,72.8232,11.4768,
0.9999,-22.2862,70.195,11.6814,
1.01,-21.4221,67.6619,12.1027,
1.0201,-20.5343,65.3471,11.8446,
1.0302,-19.9951,63.7239,11.2192,
1.0403,-19.7624,62.5803,10.3209,
1.0504,-19.8569,61.8384,9.67284,
1.0605,-20.1602,61.1967,9.76046,
1.0706,-20.4253,60.4427,10.0019,
1.0807,-20.6643,59.6969,10.273,
1.0908,-20.8684,59.003,10.6083,
1.1009,-21.0062,58.3114,10.9799,
1.111,-21.0536,57.5846,11.3467,
1.1211,-21.0044,56.8122,11.6827,
1.1312,-20.8643,55.9983,11.9762,
1.1413,-20.644,55.1509,12.2225,
1.1514,-20.356,54.2785,12.4198,
1.1615,-19.1381,51.7004,11.8391,
1.1716,-17.2751,48.3243,10.6872,
1.1817,-15.591,45.1688,9.64529,
1.1918,-15.8196,43.319,8.76335,
1.2019,-16.0064,41.1193,7.91048,
1.212,-15.9931,39.1364,7.1976,
1.2221,-15.4496,37.5075,6.94921,
1.2322,-14.7947,35.9451,6.77137,
1.2423,-14.2042,34.4187,6.61181,
1.2524,-13.6644,32.9578,6.44662,
1.2625,-13.1862,31.5755,6.25412,
1.2726,-12.7698,30.3182,6.06246,
1.2827,-12.4202,29.2415,5.8424,
1.2928,-12.1501,28.3096,5.6814,
1.3029,-11.9521,27.5529,5.50116,
1.313,-11.8379,26.9797,5.33775,
1.3231,-11.8062,26.5877,5.16872,
1.3332,-11.8471,26.3885,5.00085,
1.3433,-11.968,26.3662,4.86107,
1.3534,-12.154,26.5123,4.75743,
1.3635,-12.3953,26.8142,4.72765,
1.3736,-12.6914,27.244,4.70765,
1.3837,-13.0205,27.8063,4.72292,
1.3938,-13.3756,28.4748,4.73427,
1.4039,-13.7425,29.2266,4.7615,
1.414,-14.1118,30.0368,4.75531,
1.4241,-14.4265,30.8659,4.8868,
1.4342,-14.6695,31.6974,5.10681,
1.4443,-14.8998,32.4894,5.29138,
1.4544,-15.1022,33.2172,5.46793,
1.4645,-15.2658,33.8719,5.64811,
1.4746,-15.3877,34.4587,5.83409,
1.4847,-15.47,34.9882,6.02243,
1.4948,-15.6848,35.2669,5.95333,
1.5049,-15.8206,35.5461,5.75248,
1.515,-15.7943,35.8511,5.68811,
1.5251,-15.717,36.0955,5.59831,
1.5352,-15.602,36.2575,5.54316,
1.5453,-15.4683,36.2477,5.46682,
1.5554,-15.2832,36.0909,5.37099,
1.5655,-15.057,35.818,5.25194,
1.5756,-14.8029,35.446,5.11332,
1.5857,-14.5275,34.9848,4.95972,
1.5958,-14.2355,34.4442,4.79454,
1.6059,-13.9322,33.8367,4.62075,
1.616,-13.6243,33.1776,4.44136,
