Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.01,-7.04858e-12,-53.3475,7.04858e-12,
0.02,-7.04858e-12,-45.8858,7.04858e-12,
0.03,-7.04858e-12,-39.4676,-1.42109e-11,
0.04,7.10543e-12,-33.9468,5.68434e-14,
0.05,7.10543e-12,-29.1981,5.68434e-14,
0.06,7.10543e-12,-25.1134,5.68434e-14,
0.07,2.36298e-10,-30331.2,-9505.62,
0.08,4677.02,-7663.5,-64011.5,
0.09,23024.5,-19469.9,-72944.9,
0.1,5174.98,-81738.2,-62182.5,
0.11,1302.89,-65741.7,-68927.5,
0.12,7257.16,-79512.3,-68246.9,
0.13,2642.39,-72584.5,-68087.3,
0.14,18404.9,-87523.6,-88090.7,
0.15,11974.8,-74275.9,-110352,
0.16,-3108.59,-108653,-93879,
0.17,-702.215,-98174.8,-83329.9,
0.18,28169.3,-100920,-49317,
0.19,41475.9,-109999,-21771.6,
0.2,31934.9,-93889.1,-12524.9,
0.21,24819.5,-103582,-16014.9,
0.22,5391.9,-81614.7,-20286.7,
0.23,-2487.36,-111002,-16240.1,
0.24,-21069.2,-106414,-10695.8,
0.25,-17336.8,-95284.1,-15223.8,
0.26,-24643.2,-102676,-1568.47,
0.27,-21699,-96362,-317.005,
0.28,-22090.8,-103269,-4509.16,
0.29,-9546.79,-105256,3330.49,
0.3,-7851.52,-104795,3980.17,
0.31,-7567.41,-106814,-13010.2,
0.32,-33320.1,-107825,-6569.9,
0.33,-29853.3,-100447,-17359.7,
0.34,-23829.7,-111910,-14978.5,
0.35,-17255.7,-107498,-8507.15,
0.36,-11636.8,-98996.4,-3668.25,
0.37,-8113.3,-88212.2,-3359.72,
0.38,-7370.43,-110417,-3739.72,
0.39,-4631.61,-105256,-9323.45,
0.4,-2213.39,-96195.5,-10940.6,
0.41,-1886.37,-88606.9,-9461.75,
0.42,1173.77,-101113,-22586.9,
0.43,-556.355,-113182,-16288.6,
0.44,12745.3,-110675,-13612.7,
0.45,12391.2,-109938,-12401.4,
0.46,14204.3,-108922,-12993.9,
0.47,16269.6,-104998,-12699,
0.48,13526.5,-93242.2,-11191.5,
0.49,25197.7,-101460,-6672.24,
0.5,-18574.6,-105520,5064.68,
0.51,-12426,-103721,-1901.4,
0.52,-9019.54,-95738.1,-1225.31,
0.53,-8271.69,-90309.8,413.443,
0.54,-1427.59,-113760,15968.4,
0.55,-9920.22,-101531,5805.88,
0.56,-13083.8,-94880,5127.96,
0.57,-14267.4,-85850.9,4914.57,
0.58,-12377.8,-77809.8,5915.55,
0.59,-10639.9,-87509.6,776.758,
0.6,-6324.95,-84338.1,163.173,
0.61,545.677,-91397.7,-3933.29,
0.62,922.774,-73198,-2949.44,
0.63,303.97,-81325.9,-1130.08,
