Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.01,7.04858e-12,-60.1228,0,
0.02,7.04858e-12,-51.7639,0,
0.03,7.04858e-12,-44.5237,0,
0.04,7.04858e-12,-38.2959,0,
0.05,7.04858e-12,-32.939,0,
0.06,7.04858e-12,-28.3312,0,
0.07,-7.86914,-8673.17,3732.98,
0.08,2234.13,-26305.9,171227,
0.09,734.373,-51034.1,129548,
0.1,-8772.09,-113602,116207,
0.11,-11976.7,-111999,102204,
0.12,-14621.2,-103372,87720.8,
0.13,-14537.5,-91484.3,74585.9,
0.14,-12967.2,-108924,78297.6,
0.15,-12314.4,-123514,69235.8,
0.16,-1511.76,-127135,57893.7,
0.17,-1369.05,-110098,51930.5,
0.18,5110.44,-112849,16955.1,
0.19,-44669.4,-111167,32760.2,
0.2,14558.1,-99302.1,15846.2,
0.21,-4154.95,-108252,-26856.1,
0.22,-3923.08,-103875,-22686.6,
0.23,-8419.54,-94768.5,-10829.3,
0.24,131.109,-88029.8,-9114.65,
0.25,23709.6,-99988,-33488.3,
0.26,7675.54,-109032,-26157,
0.27,-5347.41,-108497,-36592.7,
0.28,-1056.17,-97194.8,-21697.8,
0.29,-3180.94,-103112,-35044.2,
0.3,12676.2,-101996,-42659.5,
0.31,3704.87,-107989,-39972.7,
0.32,1884.81,-87738,-33279.8,
0.33,-29246.4,-112379,16617.4,
0.34,-16322.1,-97450.5,6738.62,
0.35,12772,-102744,2467.02,
0.36,7750.12,-90676.2,-2330.57,
0.37,14090.5,-111592,3832.94,
0.38,-21607.4,-119160,-5609.13,
0.39,9081.51,-104154,-19106.5,
0.4,8481.72,-87361.6,-15595.9,
0.41,6692.02,-69159.6,-12587.3,
0.42,17052.5,-64388.3,-7007.72,
0.43,-14291.1,-76322.5,-22864.3,
0.44,-45903.2,-112460,3740.84,
0.45,-18109.4,-102776,-30064.2,
0.46,-868.023,-119379,-11018.1,
0.47,12354.7,-87051.3,-2998.47,
0.48,15731.9,-75317.1,2716.95,
0.49,12248.9,-60063.4,1951.88,
0.5,23436.6,-80777.6,-14537.2,
0.51,22633.2,-91822.8,-12176,
0.52,24273,-95882.7,-16065.1,
0.53,-49176.5,-96829,-54869,
0.54,-58599.8,-88616.9,-35386,
0.55,-38635.6,-103047,-24191.3,
0.56,-35703.5,-111178,-24106.7,
0.57,-13083.9,-99743.6,-37206.9,
0.58,-7396.39,-110146,-28529.8,
0.59,13406.5,-100922,-39772.1,
0.6,15257.5,-125592,-70436.6,
0.61,12228.8,-103501,-58856.4,
0.62,7677.11,-112688,-41710.4,
0.63,4359.88,-109184,-37010.3,
0.64,-753.568,-107624,-34799.9,
0.65,-5026.46,-104093,-33823.1,
0.66,-4726.57,-91208.1,-29470.4,
0.67,-1351.75,-112639,-31570.7,
0.68,655.355,-111351,-30932.6,
0.69,4846.77,-108436,-31127.8,
0.7,7115.01,-103765,-28228.5,
0.71,7584.61,-109694,-25467.2,
0.72,8493.51,-108913,-17552.3,
0.73,10427.3,-108117,-10886.9,
0.74,11322.5,-100827,-4596.57,
0.75,9718.54,-88283.8,-4074.37,
0.76,1606.26,-107078,3639.55,
0.77,10700.5,-96736.1,14367.3,
0.78,5994.26,-107275,10951.1,
0.79,6821.89,-94969.7,5613.67,
0.8,5008.92,-111655,4091.34,
0.81,9130.64,-109134,1086.83,
0.82,12451.9,-103510,-2389.27,
0.83,11371.7,-92400.5,-2640.05,
0.84,11474.7,-76038.5,-33.1585,
0.85,23292.2,-89971.6,-6378.36,
0.86,17948.5,-102843,-5791.17,
0.87,16593.5,-97199,-9390.11,
0.88,14751.1,-91187.5,-12477.8,
0.89,11983.8,-80163.8,-12172.3,
0.9,9157.65,-96419.4,-11945.7,
0.91,33952.5,-74937.4,-30772.8,
0.92,31095.3,-82581.9,-26861.9,
0.93,28074.1,-102335,145.865,
0.94,16087.7,-76485.4,1846.44,
0.95,29483.3,-106851,-27365.7,
0.96,35484.1,-97742.6,12436.1,
0.97,45508,-117282,27895.3,
0.98,39975.3,-101157,14186.1,
0.99,31696.4,-104866,-4191.23,
1,49233.8,-110225,-27370.7,
1.01,75888.7,-101398,-12243.8,
1.02,61517.6,-106249,-10666.2,
1.03,48845,-103227,-10525.4,
1.04,45725,-103238,-13374.8,
1.05,28844.8,-108203,-17856.1,
1.06,2572.81,-100526,-18651.8,
1.07,182.676,-110263,-14606.3,
1.08,3273.32,-104562,-11598,
1.09,4844.47,-112237,-10532.7,
1.1,7372.91,-109440,-13586.6,
1.11,10473.1,-100228,-10986.1,
1.12,8401.44,-108599,-9861.44,
1.13,11090.2,-107039,-5066.67,
1.14,9388.66,-93318.9,-2982.03,
1.15,5182.84,-101741,745.238,
1.16,-15157.8,-97256.2,-22283.7,
1.17,-12030.8,-99073.6,-17442,
1.18,-4285.27,-81583.5,-16985.2,
1.19,18292.7,-98255.5,474.23,
1.2,25493.7,-89676.3,2760.51,
1.21,-886.375,-115592,4960.9,
1.22,-3693.22,-109577,-4701.58,
1.23,-5235.16,-109960,-1784.75,
