Time,FP_FrontLeft_Fx,FP_FrontLeft_Fy,FP_FrontLeft_Fz,
0.01,-7.04858e-12,-53.3475,0,
0.02,-7.04858e-12,-45.8858,0,
0.03,-7.04858e-12,-39.4676,0,
0.04,0,-33.9468,0,
0.05,0,-29.1981,0,
0.06,0,-79.3269,0,
0.07,-2002.39,-19104.6,55843.5,
0.08,-3639.84,-47684.2,62598.3,
0.09,-575.08,-67693.4,64334.9,
0.1,-11811.2,-96361,43935.6,
0.11,-11920.1,-74950.2,6856.68,
0.12,791.612,-58107.3,9615.25,
0.13,-6755.44,-86564.1,7064.05,
0.14,-1877.11,-108400,317.658,
0.15,-343.194,-101921,39.0936,
0.16,-9112.25,-96350.5,-7554.64,
0.17,-8850.15,-94778.6,-7781.36,
0.18,-10736.7,-89425.6,-3378.24,
0.19,-5025.78,-100684,7123.59,
0.2,15330.6,-94633.4,15101.2,
0.21,9111.27,-111777,1977.87,
0.22,-6654.33,-79432.4,4868.78,
0.23,-8724.3,-75916.4,5097.82,
0.24,-8289.92,-86873.4,8963.03,
0.25,17037.3,-103839,12017.3,
0.26,-7458.65,-109952,14953.3,
0.27,-8185.82,-87476.6,12459.4,
0.28,-12024.5,-100597,-12103.4,
0.29,-10799.8,-98921.1,-8321.74,
0.3,1882.66,-108836,-10244,
0.31,-1689.01,-110304,-5182.93,
0.32,-6074.55,-106090,358.248,
0.33,-6314.74,-93585.3,851.061,
0.34,-5188.34,-106726,2401.32,
0.35,-1264.33,-97868.8,-2986.3,
0.36,2076.33,-111125,-5648.24,
0.37,-10503.4,-102643,-20837.6,
0.38,-7729.36,-100997,-8251.6,
0.39,-8192.38,-110929,-6742.6,
0.4,-4344.42,-108281,-8652.33,
0.41,-1589.08,-100510,-12323.8,
0.42,-1685.04,-92394,-15095,
0.43,-321.885,-107945,-11738.3,
0.44,-5330.06,-102974,-11758.3,
0.45,-4724.46,-91445.6,-9161.72,
0.46,-28067.3,-93775.8,-26784.6,
0.47,-20673.2,-100348,-21493.4,
0.48,-17561,-94272,-21986.1,
0.49,19497.5,-106124,-31405.9,
0.5,18180.4,-107330,-78387,
0.51,13365.1,-111043,-73646.6,
0.52,-5241.16,-111536,-93691,
0.53,4177.2,-105106,-66955.8,
0.54,7390.65,-98387.9,-60399.1,
0.55,20471.7,-98594.1,-64325.8,
0.56,60311.5,-108574,-13788.6,
0.57,9189.32,-111849,-38964.7,
0.58,-2810.88,-100909,-44749.5,
0.59,1485.88,-110311,-34289,
0.6,2916.27,-108978,-30001.4,
0.61,450.001,-120070,-22982.1,
0.62,-14726.4,-95077.2,-51700.5,
0.63,-2739.85,-112330,-6139.23,
0.64,-3413.49,-107983,-17139.7,
0.65,-25719.9,-106638,-12507.3,
0.66,24942.2,-112574,6125.94,
0.67,17569.9,-95092,9357.69,
0.68,23926.3,-104497,8379.16,
0.69,25323.1,-104109,8820.12,
0.7,31061,-100834,1265.55,
0.71,24041.5,-130785,-20647,
0.72,22019.8,-105595,-22428.3,
0.73,17723.5,-86415.2,-25698.7,
0.74,4163.12,-104927,-27375.4,
0.75,2738.17,-88609.6,-21803.2,
0.76,-8149.92,-107531,3739.67,
0.77,-11337.7,-96492.7,4952.57,
0.78,-7582.22,-91776.3,5815.65,
0.79,-8933.76,-100403,16485.1,
0.8,5271.26,-107762,1620.78,
0.81,4544.5,-94761.5,-519.545,
0.82,1776.66,-112392,-2915.98,
0.83,6819.36,-112411,-1707.92,
0.84,9876.71,-111691,1969.27,
0.85,11893.5,-108997,5938.8,
0.86,14047.3,-102697,8419.87,
0.87,12996.8,-90943.8,7610.08,
0.88,17551.4,-106069,5133.93,
0.89,18174.8,-103737,7630.27,
0.9,-12393.3,-106740,8551.48,
0.91,-810.626,-91999.6,37439,
0.92,-8978.88,-78353.2,11213.7,
0.93,-430.905,-78122.4,1166.32,
0.94,-9730.59,-108082,13266.7,
0.95,15556.6,-95837.9,-3148.85,
0.96,-5063.93,-113470,-25792.5,
0.97,3915.24,-109777,-5977.7,
0.98,4775.68,-108122,-4283.4,
0.99,7232.41,-102669,-5181.39,
1,3687.69,-114358,-4041.33,
1.01,1949.62,-103241,-3644.32,
1.02,15167.6,-106390,-18954.2,
1.03,3270.2,-105073,-4165.19,
1.04,1981.06,-109039,-3803.11,
1.05,24361,-102676,-5038.31,
1.06,7066.34,-88957.8,2693.97,
1.07,4979.5,-93315.3,9414.55,
1.08,5099.33,-84100.2,10883.1,
1.09,7919.83,-85351.9,8502.67,
1.1,9416.07,-75667.5,-12093.5,
1.11,8202.2,-96476,-8395.61,
