Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.01,-7.04858e-12,-54.1573,7.04858e-12,
0.02,-7.04858e-12,-46.5824,7.04858e-12,
0.03,-7.04858e-12,-40.0668,7.04858e-12,
0.04,7.10543e-12,-34.4622,0,
0.05,7.10543e-12,-29.6414,5.68434e-14,
0.06,7.10543e-12,-25.4947,5.68434e-14,
0.07,7.10543e-12,-21.9279,5.68434e-14,
0.08,2816.95,3522.35,-3821.91,
0.09,28530.3,-13485.1,-4767.14,
0.1,-14803.2,-92418.8,2214.14,
0.11,-28801.7,-118302,-30521.3,
0.12,-46890.8,-150256,-46057.4,
0.13,-42820.9,-139849,-33706.3,
0.14,-34904,-121847,-27474.4,
0.15,-26098.7,-119197,-26114.6,
0.16,-25374.3,-116911,-34397.4,
0.17,-30359.3,-105353,-33269.5,
0.18,-28474.3,-103336,-33328.8,
0.19,-33068.3,-111128,-39878.4,
0.2,-29719.7,-98047.3,-23055.7,
0.21,-25379,-85796.9,-4357.98,
0.22,3409.24,-86315.3,6643.91,
0.23,21688.5,-92280.4,7283.97,
0.24,11657.5,-110189,14718.6,
0.25,11013.2,-110142,8588.86,
0.26,-2534.54,-99208.7,7293.02,
0.27,-959.334,-97495.5,6876.53,
0.28,1973.8,-98306.7,4768.52,
0.29,2843.65,-96278.4,2947.97,
0.3,-900.708,-111384,-620.777,
0.31,4083.1,-110822,-1688.05,
0.32,8571.82,-107501,-2817.97,
0.33,12235.2,-100092,-2877.32,
0.34,12598,-89366.8,-2367.64,
0.35,28668.7,-102732,-7541.51,
0.36,22560.6,-108745,6212.29,
0.37,17635.7,-106238,10543.7,
0.38,13106.5,-95987.2,11517.1,
0.39,12188,-108323,13200.6,
0.4,725.368,-116490,24730.3,
0.41,-5296.46,-109737,27279.7,
0.42,-32196.1,-112281,-10537.5,
0.43,-16847.4,-95924.6,-3503.48,
0.44,8244.01,-89964.3,-4040.41,
0.45,31185.6,-104313,-1177.83,
0.46,5792.37,-74601.3,-6565.66,
0.47,-21282.2,-100108,13675.8,
0.48,-44932,-105458,-15192.1,
0.49,-33841.3,-112566,-22166,
0.5,-18654.6,-98942.9,-12388.9,
0.51,-3177.65,-84479.5,-9529.14,
0.52,-4392.9,-75340,-8665.62,
0.53,-10675.9,-84574.3,-3961.23,
0.54,-3762.13,-74147.1,-4510.59,
0.55,185.96,-57765.6,-11434.6,
0.56,7478.59,-93034.6,-8690.91,
0.57,5754.51,-62309.9,-19970.9,
0.58,-804.858,-108298,-13194.5,
0.59,-24821.5,-93200.9,-16267.9,
0.6,-30373.9,-111407,-8266.41,
0.61,-28910.7,-110329,3068.86,
0.62,-27946.1,-109641,6198.77,
0.63,-26899.8,-107625,11581.6,
0.64,-34130.7,-122688,31602.8,
0.65,-35719.7,-112581,23185,
0.66,-29007,-94513.6,18934.7,
0.67,-30664.1,-126373,46356.8,
0.68,-22721.2,-104091,40362.3,
0.69,-22102.8,-94816.5,11178.6,
0.7,3954.04,-67631.7,24883.3,
0.71,-24177.8,-67470.5,31598.4,
0.72,-23745,-90962.3,13636,
0.73,-17576.9,-111480,23359.3,
0.74,-15735.8,-94773.6,22727.4,
0.75,-3264.79,-99674,74300.4,
0.76,-2750.27,-83151,60640.3,
0.77,-18493.7,-62589.5,73478.8,
0.78,-16349.9,-83306.7,74111.1,
0.79,-2149.19,-78854.5,57902.1,
0.8,-1679.06,-93656.7,57927.7,
0.81,-2642.41,-85552.7,44348.1,
0.82,-4471.54,-83618.8,35136.6,
0.83,-1336.23,-101060,25097.7,
0.84,-1294.36,-39149.7,-9887.41,
0.85,8968.76,-90799.4,-44208.7,
0.86,3923.76,-79589.8,-1512.66,
0.87,-14095.6,-103147,2382.2,
0.88,-15571.5,-112814,2470.92,
0.89,-14711.7,-109207,8.21171,
0.9,-14073.4,-107222,-3194.62,
0.91,-14792.5,-103713,-7673.52,
0.92,-12821.1,-92694.1,-8213.79,
0.93,14405.9,-106627,-12860.5,
0.94,458.221,-107287,16628,
0.95,1298,-113702,14217.5,
0.96,52973.8,-97166.8,7539.22,
0.97,45468.6,-87220.3,8190.29,
0.98,46770.2,-97570.3,4030.59,
0.99,29703.5,-87967.4,11079.6,
1,21468.2,-84847.6,2642.11,
1.01,4699.79,-115624,-6467.95,
1.02,-1684.1,-113096,5274.7,
1.03,3919.2,-104607,15896.1,
1.04,24330.5,-98841.5,17434.6,
1.05,12006.6,-99664.7,15368.3,
1.06,13273.8,-104414,-8019.17,
1.07,-7731.45,-109508,-8912.3,
1.08,-5699.51,-110016,-11946.9,
1.09,-2480.91,-108116,-16557.1,
1.1,-5366.82,-97191.8,12344.5,
1.11,7847.74,-93126.2,16948.7,
1.12,-3530.56,-90885.4,24092.8,
1.13,-9564.26,-101967,28637.8,
1.14,2628.02,-89319.2,-7641.48,
1.15,-3615.28,-109032,22218.7,
1.16,31602,-107144,26821.4,
1.17,22388.4,-96743.8,25032.9,
1.18,13822.4,-109972,15742.5,
1.19,10081.6,-112895,13653.8,
1.2,6828.13,-112956,10626.5,
1.21,6498.84,-110776,8602.39,
1.22,4241.48,-105525,5741.71,
1.23,4241.21,-102216,3249.74,
1.24,4370.95,-94571.9,648.043,
1.25,4614.01,-85566.8,-1911.9,
1.26,5442.29,-78584.3,-1480.37,
1.27,8850.89,-91273.1,-2678.96,
1.28,6659.85,-69263.9,-588.297,
1.29,3244.12,-79188,-227.375,
1.3,-8892.93,-86136.7,-3296.62,
1.31,2408.74,-77044.4,-4663.56,
1.32,3299.66,-78020.8,-674.645,
1.33,590.223,-70674,6613.89,
1.34,-773.627,-76993.7,-1398.05,
1.35,-8483.06,-72370.6,-3922.88,
1.36,-30784.8,-95189.8,-687.699,
1.37,-27306.5,-104297,1.24645,
1.38,-21693.8,-103909,-2487.04,
1.39,-8863.6,-102199,5051.45,
1.4,-8443.59,-87823.3,7186.89,
1.41,-9356.61,-109486,2976.74,
1.42,-10750.5,-95256.3,3622.86,
1.43,-7472.33,-87479.6,2443.56,
1.44,-4206.51,-105146,3110.78,
1.45,-14855,-77941.2,-2312.07,
1.46,-8678.96,-112072,8004.85,
1.47,17882.2,-29967.1,-10334.3,
1.48,-8597.08,-83851.6,-23506,
1.49,-33995,-97430,1212.99,
1.5,-177.673,-112795,-6310.74,
1.51,-10669.3,-109516,-6915,
1.52,-5822.28,-102763,-4433.09,
1.53,-5688.81,-90873.4,-5868.17,
1.54,-5402.95,-108946,-5586.23,
1.55,-23854.4,-100176,10258.1,
1.56,-17510.5,-103439,4104.81,
1.57,-24760,-104388,-9556.39,
1.58,-11627.8,-112427,-29696.2,
1.59,-7929.65,-113858,-24916.5,
1.6,23007.6,-104453,-4369.71,
1.61,19481.3,-101436,-8520.92,
1.62,13904.7,-101076,-7009.43,
1.63,2035.97,-108137,15439.1,
1.64,13073.8,-108119,6370.6,
1.65,8548.75,-111632,3642.27,
1.66,6423.27,-110420,1118.62,
1.67,5152.74,-107923,-81.6363,
1.68,3306.8,-96518.4,-1597.82,
1.69,-42761.3,-119621,-28531.8,
1.7,-63121.1,-114766,-20416.2,
1.71,-43545.7,-102850,-27810.5,
1.72,-36330.6,-108299,-28082.8,
1.73,-18823.3,-104058,-18736.9,
1.74,-5912.7,-106260,-46053.1,
1.75,-624.516,-110733,-45861.4,
1.76,-3274.21,-111358,-54347.2,
1.77,-7380.96,-109720,-36690.4,
1.78,1322.81,-105998,-32630,
1.79,17085.7,-103737,-12066.2,
1.8,3435.38,-122415,-18444.9,
1.81,-12442.1,-102022,3270.2,
1.82,-10453.5,-107564,2007.35,
1.83,-9111.63,-79583.8,1429.93,
1.84,-39924,-101494,-26605,
1.85,-13283.2,-95087.1,-12014.8,
1.86,-10073.9,-88362.7,-11540.6,
1.87,-7082.53,-84764.1,-8798.47,
1.88,9151.28,-100856,-5565.68,
1.89,30059.7,-104680,17544.7,
1.9,23604.9,-110560,-571.209,
1.91,15104,-109222,1723.78,
1.92,7311.05,-105826,4438.71,
1.93,1441.29,-101743,6937.47,
1.94,-953.797,-92240.2,6367.67,
1.95,-4788.13,-108278,3964.92,
1.96,-4629.65,-104197,-2392.5,
1.97,-5487.03,-98857.6,-6923.48,
1.98,-5239.98,-88446.2,-7126,
1.99,-4134.56,-83150.7,-3348.94,
2,-900.154,-98134,-4462.42,
2.01,-637.297,-92972.2,15.325,
2.02,-958.357,-84957.7,3202.73,
2.03,-1184.58,-76102.9,5782.56,
2.04,-1061.36,-85157.2,3400.84,
2.05,-4401.7,-103785,714.842,
2.06,-9534.34,-102124,-101.477,
2.07,-12706.2,-93860.6,784.704,
2.08,-10004.4,-85479.8,3544.68,
2.09,-608.079,-75231.9,3730.69,
2.1,35099.8,-74380.5,12901.4,
2.11,36420,-71450.9,7784.49,
2.12,47901.9,-114691,-4872.87,
2.13,60311.1,-104953,-5719.82,
2.14,29784.7,-95660.8,-28767.2,
2.15,4743.65,-121347,18511.9,
2.16,12979.2,-114079,49581.1,
2.17,25357.6,-107214,73111.8,
2.18,23812.3,-96595.7,73048.9,
2.19,19489.6,-88958.1,63122.2,
2.2,6142.54,-82846.1,61234,
2.21,13012.1,-91398.2,56223.5,
2.22,9669.58,-84339.9,54962.3,
2.23,3201.35,-101268,43121.4,
2.24,-13259.5,-105605,44511,
2.25,-22281.8,-113219,63200.1,
2.26,-18408.1,-91473.2,51998.9,
2.27,-42357.8,-91089.5,41703.3,
2.28,-43793.4,-82229,41372.1,
2.29,-34839.3,-109825,38861.6,
2.3,-28267.1,-107162,34241.1,
2.31,-22233.9,-102378,29476.7,
2.32,-26509.5,-95292.3,12489.2,
2.33,-32977.8,-107639,18963.3,
2.34,10769.5,-115046,4341.54,
2.35,6042.49,-100410,3037.95,
2.36,-17062.1,-117603,-12455.3,
2.37,-41919,-78997.1,-24919.3,
2.38,-48502,-93211.8,-12017.6,
2.39,-44310,-91505.7,-4734.03,
2.4,-37415.2,-92100.7,-3743.05,
2.41,-30465.9,-95151,1848.41,
2.42,-26563.1,-92377.6,11683,
2.43,-13841.8,-98113,11753.9,
2.44,8899.6,-113539,-1897.24,
2.45,5558.28,-92886.6,-2060.2,
2.46,17608.3,-114831,-11548.3,
2.47,46770.7,-117176,-19448.9,
2.48,43902.8,-107063,1048.83,
2.49,33307.4,-98148.1,1362.6,
2.5,48160.6,-95630.8,18045.5,
2.51,6737.16,-106126,5668.5,
2.52,2108.48,-79288.3,4644.97,
2.53,6112.93,-96871.9,-871.23,
2.54,4181.21,-76079.1,1748.87,
2.55,2376.42,-118911,7850.55,
2.56,-10462,-93427.6,-1281.15,
2.57,-9021.14,-107809,-571.532,
2.58,-7230.87,-104108,-209.944,
2.59,5642.12,-79234,-6928.09,
2.6,2717.95,-82980.7,-4497.9,
2.61,13939.1,-110903,-7685.95,
2.62,2216.08,-73829.5,-14396.7,
2.63,18407.1,-109535,-12905.1,
2.64,-11766.8,-118145,-39591.4,
2.65,-38571,-98615.3,-4499.92,
2.66,26790.5,-98375.6,11153.3,
2.67,12833.8,-111623,-10384.5,
2.68,3292.71,-67278.3,-10921.6,
2.69,-6716.04,-72695.5,1053.5,
2.7,-11775.6,-96192.5,-20470.9,
2.71,-23322.9,-112101,-6585.05,
2.72,-16945.2,-105252,-3544.17,
2.73,-10546,-109573,4372.28,
2.74,-8288.75,-107208,4139.41,
2.75,-6525.54,-102165,5072.19,
2.76,-3809.57,-95234,4793.73,
2.77,-1706.31,-88218.4,4631.01,
2.78,1458.13,-84077.3,2937.54,
2.79,7204.34,-80960.9,-481.027,
2.8,11830.3,-76963.6,-4018.21,
2.81,16646.1,-71638.7,-7729.11,
2.82,18995.4,-66499.2,-9818.79,
2.83,-330.59,-100811,8308.54,
2.84,7618.51,-85927.2,940.553,
2.85,-14928.8,-73221,-8341.07,
2.86,-2399.19,-76333.8,-27546.8,
2.87,16185,-69195.1,-8672.34,
2.88,-863.626,-113989,-38098.4,
2.89,-4505.85,-94160.4,-12292.7,
2.9,1385.75,-76921.4,8862.66,
2.91,13702.7,-110676,22396.9,
2.92,11295.5,-101969,23587.3,
2.93,27588.8,-100243,12180,
2.94,26531.2,-109910,7848.49,
2.95,26493.7,-111968,4607.97,
2.96,27254,-108763,772.933,
2.97,28310.3,-106666,-2973.43,
2.98,26946,-97488.1,-3087.32,
2.99,13427,-88759.1,-7353.18,
3,-22376.7,-106474,13068.3,
3.01,-23624.5,-95371.1,16378.6,
3.02,1111.34,-79707,4995.69,
3.03,-29860.4,-114857,43302,
3.04,-25645.7,-125806,32733.8,
3.05,-20858.5,-95435.8,26635.9,
3.06,11342,-104832,9722.41,
3.07,8628.25,-109628,8530.08,
3.08,18909.1,-111034,25361.6,
3.09,-4501.14,-107749,31205.5,
3.1,-5664.59,-120345,25945,
3.11,8201.29,-108777,17389.4,
