Time,FP_RearRight_Fx,FP_RearRight_Fy,FP_RearRight_Fz,
0.01,7.04858e-12,-60.1228,1.42109e-11,
0.02,7.04858e-12,-51.7639,7.04858e-12,
0.03,7.04858e-12,-44.5237,7.04858e-12,
0.04,7.04858e-12,-38.2959,-1.42109e-11,
0.05,7.04858e-12,-32.939,7.04858e-12,
0.06,7.04858e-12,-28.3312,7.04858e-12,
0.07,7.04858e-12,-24.3677,7.04858e-12,
0.08,-53.4707,23369.3,-3161.02,
0.09,-3672.32,16862,-24629.4,
0.1,-3008.19,15022.2,-23710.7,
0.11,-1301.81,15101.3,-22803.9,
0.12,-2569.5,15036.4,-23711.7,
0.13,-3029.65,17019.3,-31701.3,
0.14,-2835.77,18380.2,-28703.2,
0.15,-1948.4,50273.6,-30475,
0.16,-36665.1,1791.5,-879.086,
0.17,-35147.4,16548.9,-1596.92,
0.18,-45074.6,-13384.3,2935.18,
0.19,1457.31,-70636.5,-5590.33,
0.2,-9784.6,-93604.6,6161.84,
0.21,-8100.98,-87276.3,2843.26,
0.22,-4912.78,-109820,-5358.35,
0.23,646.615,-99000.6,-20625.4,
0.24,-652.201,-107264,-21947.2,
0.25,-18171.8,-106880,340.965,
0.26,-12102.9,-111156,10896.6,
0.27,-52794.6,-113015,-14738.5,
0.28,-63457.1,-102222,3015.19,
0.29,-55871.9,-90437.6,4202.47,
0.3,-50945.5,-110896,1368.26,
0.31,-41090.2,-101953,-4825.18,
0.32,-33507.8,-98652,3004.64,
0.33,-30553.2,-105255,7496.27,
0.34,-78749.2,-105090,-21117.6,
0.35,-77265.4,-79373,3010.04,
0.36,-89303.4,-88485,31027,
0.37,-56718.2,-92281.8,7716.86,
0.38,-53569.6,-106314,12720.8,
0.39,-44783,-89034.6,9676.3,
0.4,-52970.9,-91239.7,19845.1,
0.41,-40536.2,-111264,22911.2,
0.42,-38385.7,-102651,21250.8,
0.43,-34416.1,-108015,17852.7,
0.44,-26066.6,-98568,10599,
0.45,-17382.9,-102028,6973.95,
0.46,-14931.4,-96428.9,4362.85,
0.47,-9548.2,-97087.6,6033.94,
0.48,14281,-107738,-14292.5,
0.49,2514.02,-102024,-19126,
0.5,-259.604,-110151,-18361.2,
0.51,-4175.44,-102272,-17432.1,
0.52,-21049.5,-84054.8,-5586.92,
0.53,-23909.8,-110070,7717.55,
0.54,-23886,-107704,9902.89,
0.55,-25309.6,-103496,12117.5,
0.56,-26140,-96611.7,13000.3,
0.57,-23553.2,-83541.8,11023.2,
0.58,-16733.7,-105191,11961.3,
0.59,-15649.7,-93673.1,7637.12,
0.6,-11767.7,-103425,7545.66,
0.61,-6696.42,-94356.8,7230.8,
0.62,-5314.38,-79422.1,6255.85,
0.63,34280.1,-83036.9,1707.71,
0.64,36547.9,-116584,-7668.1,
0.65,36363.6,-111608,-8251.85,
0.66,46126.9,-88012.8,19857.4,
0.67,23189.2,-101501,9796.06,
0.68,12366.7,-100768,5686.03,
0.69,5699.25,-91937.9,2065.77,
0.7,-2865.57,-87251.8,17586.9,
0.71,-6494.19,-105736,15106.2,
0.72,-9181.31,-103783,14217.7,
0.73,-7164.19,-93140.1,9605.03,
