Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.0101,1.06866e-11,-57.7632,0,
0.0202,1.06866e-11,-54.3608,0,
0.0303,1.06866e-11,-51.1587,0,
0.0404,1.06866e-11,-48.1452,0,
0.0505,1.06866e-11,-45.3092,0,
0.0606,1.06866e-11,-42.6402,0,
0.0707,1.06866e-11,-40.1283,0,
0.0808,1.06866e-11,-37.7644,0,
0.0909,1.06866e-11,-35.5397,0,
0.101,1.06866e-11,-33.446,0,
0.1111,1.06866e-11,-31.4756,0,
0.1212,1.06866e-11,-29.6213,0,
0.1313,1.06866e-11,-27.8761,0,
0.1414,1.06866e-11,-26.2338,0,
0.1515,1.06866e-11,-24.6881,0,
0.1616,1.06866e-11,-23.2335,0,
0.1717,1.06866e-11,-21.8645,0,
0.1818,1.06866e-11,-20.5762,0,
0.1919,1.06866e-11,-19.3637,0,
0.202,1.06866e-11,-18.2226,0,
0.2121,1.06866e-11,-17.1487,0,
0.2222,1.06866e-11,-16.1381,0,
0.2323,1.06866e-11,-15.187,0,
0.2424,1.06866e-11,-14.2919,0,
0.2525,1.06866e-11,-13.4495,0,
0.2626,1.06866e-11,-12.6567,0,
0.2727,1.06866e-11,-11.9106,0,
0.2828,1.06866e-11,-11.2085,0,
0.2929,1.06866e-11,-10.5477,0,
0.303,1.06866e-11,-9.92576,0,
0.3131,1.06866e-11,-9.34049,0,
0.3232,1.06866e-11,-8.78969,0,
0.3333,1.06866e-11,-8.27133,0,
0.3434,1.06866e-11,-7.78349,0,
0.3535,1.06866e-11,-7.32438,0,
0.3636,1.06866e-11,-6.89231,0,
0.3737,1.06866e-11,-6.48568,0,
0.3838,1.06866e-11,-6.103,0,
0.3939,1.06866e-11,-5.74285,0,
0.404,1.06866e-11,-5.40392,0,
0.4141,1.06866e-11,-5.08494,0,
0.4242,1.06866e-11,-4.78475,0,
0.4343,1.06866e-11,-4.50224,0,
0.4444,1.06866e-11,-4.23636,0,
0.4545,1.06866e-11,-3.98615,0,
0.4646,1.06866e-11,-3.75066,0,
0.4747,1.06866e-11,-3.52905,0,
0.4848,1.06866e-11,-3.32049,0,
0.4949,1.06866e-11,-3.12421,0,
0.505,1.06866e-11,-2.93948,0,
0.5151,1.06866e-11,-2.76564,0,
0.5252,1.06866e-11,-2.60203,0,
0.5353,1.06866e-11,-2.44806,0,
0.5454,1.06866e-11,-2.30316,0,
0.5555,1.06866e-11,-2.16679,0,
0.5656,1.06866e-11,-2.03845,0,
0.5757,1.06866e-11,-1.91767,0,
0.5858,1.06866e-11,-1.804,0,
0.5959,1.06866e-11,-1.69702,0,
0.606,1.06866e-11,-1.59635,0,
0.6161,1.06866e-11,-1.5016,0,
0.6262,1.06866e-11,-1.41244,0,
0.6363,1.06866e-11,-1.32852,0,
0.6464,1.06866e-11,-1.24955,0,
0.6565,1.06866e-11,-1.17523,0,
0.6666,1.06866e-11,-1.10528,0,
0.6767,1.06866e-11,-1.03945,0,
0.6868,1.06866e-11,-0.977504,0,
0.6969,1.06866e-11,-0.919202,0,
0.707,1.06866e-11,-0.864334,0,
0.7171,1.06866e-11,-0.812697,0,
0.7272,1.06866e-11,-0.764101,0,
0.7373,1.06866e-11,-0.718366,0,
0.7474,1.06866e-11,-0.675325,0,
0.7575,1.06866e-11,-0.634819,0,
0.7676,1.06866e-11,-0.596698,0,
0.7777,1.06866e-11,-0.560822,0,
0.7878,1.06866e-11,-0.527059,0,
0.7979,1.06866e-11,-0.495284,0,
0.808,1.06866e-11,-0.46538,0,
0.8181,1.06866e-11,-0.437238,0,
0.8282,1.06866e-11,-0.410752,0,
0.8383,1.06866e-11,-0.385827,0,
0.8484,1.06866e-11,-0.362369,0,
0.8585,15.0802,81.1386,-3.21837,
0.8686,15.2629,77.798,-2.92656,
0.8787,15.3742,74.8191,-2.68555,
0.8888,15.3198,71.6484,-2.43394,
0.8989,14.721,68.2274,-1.76466,
0.909,13.814,64.8024,-1.84254,
0.9191,13.0005,60.9869,-1.73403,
0.9292,9.3181,59.3988,-1.80264,
0.9393,7.39768,56.6986,-1.70992,
0.9494,4.96493,54.3722,-1.59498,
0.9595,2.83899,52.0556,-1.48481,
0.9696,1.06388,49.7703,-1.38773,
0.9797,-0.292451,47.4912,-1.29926,
0.9898,-1.25096,45.1613,-1.21948,
0.9999,-2.00364,42.9078,-1.146,
1.01,-2.4617,40.5978,-1.07943,
1.0201,-2.9939,38.5636,-1.02188,
1.0302,-3.49828,36.6651,-0.967818,
1.0403,-4.06239,35.027,-0.925464,
1.0504,-4.51345,33.4551,-0.922976,
1.0605,-5.11604,32.1255,-0.967466,
1.0706,-5.77423,30.9616,-1.04368,
1.0807,-5.79385,29.4101,-1.02349,
1.0908,-5.91516,28.0252,-1.00521,
1.1009,-6.02832,26.719,-0.979949,
1.111,-6.51151,25.8305,-0.974845,
1.1211,-6.56279,24.6495,-0.887231,
1.1312,-6.47682,23.3992,-0.831581,
1.1413,-6.34559,22.341,-0.742927,
1.1514,-6.0079,21.8584,-0.40511,
1.1615,-5.29605,21.4944,-0.268392,
1.1716,-4.26591,21.4484,-0.226585,
1.1817,-3.25458,21.4939,-0.169017,
1.1918,-2.40591,21.5223,-0.0671843,
1.2019,-1.58116,21.5286,0.0527194,
1.212,-0.755429,21.52,0.157991,
1.2221,-0.0125553,21.4832,0.268625,
1.2322,0.709489,21.4484,0.371095,
1.2423,1.50452,21.4851,0.433796,
1.2524,2.20456,21.516,0.496999,
1.2625,2.66871,21.4135,0.613494,
1.2726,3.07506,21.2501,0.724519,
1.2827,3.59308,21.1886,0.757506,
1.2928,4.14702,21.155,0.742838,
1.3029,4.61153,21.1193,0.736451,
1.313,4.90481,20.9998,0.802596,
1.3231,4.99747,20.7062,0.878866,
1.3332,5.33834,20.5153,0.835011,
1.3433,5.83199,20.522,0.674394,
1.3534,6.42811,20.5276,0.578083,
1.3635,7.08688,20.619,0.438763,
1.3736,7.65931,20.6767,0.238583,
1.3837,8.21604,20.6901,0.0570881,
1.3938,8.72768,20.7245,-0.136059,
1.4039,9.19617,20.6796,-0.289079,
1.414,9.63959,20.6953,-0.46584,
1.4241,10.0252,20.6989,-0.638303,
1.4342,10.3612,20.7072,-0.782288,
1.4443,10.5012,20.6091,-0.830961,
1.4544,10.572,20.4325,-0.863331,
1.4645,10.6174,20.2309,-0.865125,
1.4746,10.6856,20.0489,-0.877406,
1.4847,10.8498,19.9212,-0.929334,
1.4948,11.0949,19.8597,-0.987004,
1.5049,11.324,19.7968,-1.05333,
1.515,11.5543,19.7711,-1.1255,
1.5251,11.725,19.7435,-1.20123,
1.5352,11.7875,19.651,-1.24582,
1.5453,11.8484,19.5725,-1.28681,
1.5554,11.888,19.5082,-1.30246,
1.5655,11.9348,19.4465,-1.32535,
1.5756,12.017,19.4275,-1.36383,
1.5857,12.0835,19.4016,-1.39452,
1.5958,12.1373,19.3535,-1.41803,
1.6059,12.2415,19.3231,-1.44115,
1.616,12.496,19.3961,-1.43318,
1.6261,12.775,19.4952,-1.42487,
1.6362,12.8983,19.5534,-1.44289,
1.6463,12.944,19.6439,-1.47756,
1.6564,12.7074,19.5716,-1.39771,
1.6665,12.333,19.3846,-1.2801,
1.6766,12.0411,19.2676,-1.1681,
1.6867,11.7284,19.1856,-1.04764,
1.6968,11.3642,19.066,-0.906946,
1.7069,11.0348,18.9218,-0.756399,
1.717,10.7741,18.8616,-0.617344,
1.7271,10.4999,18.7793,-0.48673,
1.7372,10.2395,18.6803,-0.355942,
1.7473,10.0226,18.6383,-0.236886,
1.7574,9.8145,18.5659,-0.121016,
1.7675,9.61762,18.4979,-0.0172601,
1.7776,9.40723,18.4149,0.0917071,
1.7877,9.27299,18.3511,0.175003,
1.7978,9.15415,18.2955,0.248735,
1.8079,9.04533,18.2389,0.322273,
1.818,8.95828,18.1944,0.37852,
1.8281,8.81658,18.1218,0.438992,
1.8382,8.64101,18.0136,0.506977,
1.8483,8.40643,17.8004,0.596391,
1.8584,8.38424,17.7307,0.640961,
1.8685,8.39165,17.7021,0.675476,
1.8786,8.49968,17.7156,0.630643,
1.8887,8.57733,17.7048,0.606074,
1.8988,8.63829,17.6747,0.5919,
1.9089,8.73412,17.6618,0.540021,
1.919,8.86943,17.6923,0.45415,
1.9291,8.98734,17.708,0.381078,
1.9392,9.10138,17.7043,0.314248,
1.9493,9.24733,17.7268,0.210227,
1.9594,9.41045,17.7792,0.0813571,
1.9695,9.55108,17.8245,-0.033588,
1.9796,9.6309,17.828,-0.0928797,
1.9897,9.73113,17.8415,-0.174322,
1.9998,9.84358,17.8846,-0.276511,
2.0099,9.89735,17.9101,-0.322577,
2.02,9.92333,17.9045,-0.331704,
2.0301,9.96367,17.9234,-0.352663,
2.0402,9.97316,17.9489,-0.342705,
2.0503,9.93422,17.9389,-0.287732,
2.0604,9.89179,17.9227,-0.226116,
2.0705,9.86448,17.9347,-0.171219,
2.0806,9.83332,17.9417,-0.104675,
2.0907,9.77905,17.9452,-0.0416676,
2.1008,9.69635,17.9312,0.0226082,
2.1109,9.60207,17.9121,0.0850434,
2.121,9.50263,17.9011,0.149708,
2.1311,9.37395,17.8751,0.214078,
2.1412,9.2258,17.8314,0.283082,
2.1513,9.08341,17.7959,0.35135,
2.1614,8.96309,17.7779,0.410852,
2.1715,8.83343,17.743,0.472034,
2.1816,8.70172,17.7059,0.531727,
2.1917,8.57819,17.6707,0.584976,
2.2018,8.46747,17.6312,0.638148,
2.2119,8.34038,17.5904,0.688828,
2.222,8.23337,17.5508,0.735698,
2.2321,8.1123,17.497,0.785549,
2.2422,8.01316,17.4546,0.83147,
2.2523,7.95755,17.4284,0.866561,
2.2624,7.88859,17.3943,0.900981,
2.2725,7.83685,17.3662,0.933592,
2.2826,7.79937,17.334,0.964536,
2.2927,7.78346,17.3127,0.991418,
2.3028,7.76534,17.293,1.01703,
2.3129,7.74701,17.2542,1.04433,
2.323,7.7778,17.2561,1.0637,
2.3331,7.80415,17.2469,1.08494,
2.3432,7.81864,17.2353,1.10688,
2.3533,7.86194,17.2369,1.12618,
2.3634,7.9087,17.2456,1.144,
2.3735,7.93223,17.2448,1.16304,
2.3836,7.96911,17.2453,1.18076,
2.3937,8.01156,17.2553,1.1976,
2.4038,8.052,17.264,1.21569,
2.4139,8.09461,17.2766,1.22449,
2.424,8.1192,17.2783,1.23338,
2.4341,8.13003,17.2788,1.25378,
2.4442,8.14799,17.2801,1.271,
2.4543,8.17382,17.3019,1.28197,
2.4644,8.17356,17.3071,1.30688,
2.4745,8.14876,17.294,1.32539,
2.4846,8.16749,17.3078,1.34162,
2.4947,8.15316,17.3107,1.35599,
2.5048,8.1303,17.3126,1.3668,
2.5149,8.0864,17.2973,1.38101,
2.525,8.07424,17.298,1.39249,
2.5351,8.04984,17.2983,1.40542,
2.5452,8.01822,17.2864,1.42116,
2.5553,8.00046,17.2984,1.42952,
2.5654,7.95423,17.2825,1.44448,
2.5755,7.89953,17.2694,1.45555,
2.5856,7.85823,17.2604,1.46739,
2.5957,7.80492,17.2526,1.47753,
2.6058,7.7657,17.2414,1.48833,
2.6159,7.73439,17.2327,1.49764,
2.626,7.6855,17.2151,1.50892,
2.6361,7.64111,17.1993,1.51941,
2.6462,7.6207,17.196,1.52558,
2.6563,7.56622,17.179,1.53303,
2.6664,7.5164,17.1535,1.54183,
2.6765,7.48613,17.1459,1.54668,
2.6866,7.47258,17.1434,1.55399,
2.6967,7.4485,17.1402,1.55825,
2.7068,7.41406,17.117,1.56722,
2.7169,7.39064,17.1007,1.5718,
2.727,7.37704,17.0954,1.57713,
2.7371,7.36965,17.0869,1.58117,
2.7472,7.35619,17.0742,1.58371,
2.7573,7.34435,17.0604,1.5881,
2.7674,7.36183,17.0683,1.58853,
2.7775,7.37715,17.0758,1.58723,
2.7876,7.37666,17.0736,1.58953,
2.7977,7.35695,17.0591,1.59485,
2.8078,7.37324,17.0624,1.59674,
2.8179,7.37522,17.0669,1.59837,
2.828,7.36984,17.0535,1.6041,
2.8381,7.37441,17.047,1.60559,
2.8482,7.39693,17.0556,1.60434,
2.8583,7.41834,17.0655,1.60349,
2.8684,7.42465,17.0657,1.60422,
2.8785,7.43877,17.0791,1.60234,
2.8886,7.42329,17.067,1.60837,
2.8987,7.4367,17.0786,1.61088,
2.9088,7.42596,17.0809,1.61304,
2.9189,7.40498,17.063,1.61791,
2.929,7.39037,17.0589,1.62089,
2.9391,7.40456,17.0635,1.62215,
2.9492,7.40608,17.0778,1.6197,
2.9593,7.38686,17.0656,1.62318,
2.9694,7.3858,17.0678,1.6232,
2.9795,7.37232,17.0622,1.62851,
2.9896,7.36212,17.0668,1.62868,
2.9997,7.3199,17.0447,1.63254,
3.0098,7.3054,17.0454,1.63429,
3.0199,7.29356,17.0485,1.63309,
3.03,7.26778,17.0346,1.6368,
3.0401,7.26153,17.0426,1.636,
3.0502,7.24649,17.0317,1.63892,
3.0603,7.23637,17.0318,1.63848,
3.0704,7.2078,17.0154,1.64329,
3.0805,7.18613,17.0093,1.64298,
3.0906,7.16363,16.9977,1.64583,
3.1007,7.1529,16.9977,1.64527,
3.1108,7.14309,16.996,1.64473,
3.1209,7.12323,16.9885,1.64601,
3.131,7.12376,16.992,1.64584,
3.1411,7.11038,16.9856,1.64756,
3.1512,7.10549,16.9829,1.6474,
3.1613,7.07761,16.9666,1.64947,
3.1714,7.07245,16.9581,1.6513,
3.1815,7.0662,16.9531,1.65174,
3.1916,7.07086,16.9572,1.64992,
3.2017,7.06125,16.9536,1.64862,
3.2118,7.05827,16.9489,1.64849,
3.2219,7.06596,16.9572,1.64518,
3.232,7.0527,16.954,1.6474,
3.2421,7.04583,16.9503,1.64681,
3.2522,7.03517,16.945,1.6479,
3.2623,7.03063,16.9364,1.64939,
3.2724,7.02473,16.9328,1.6485,
3.2825,7.02445,16.929,1.64775,
3.2926,7.03176,16.9378,1.64506,
3.3027,7.038,16.9421,1.64528,
3.3128,7.03928,16.9433,1.64441,
3.3229,7.02009,16.9369,1.64601,
3.333,7.00888,16.9244,1.64927,
3.3431,7.00788,16.9326,1.64702,
3.3532,6.9813,16.9142,1.65006,
3.3633,6.98547,16.9227,1.6462,
3.3734,6.97681,16.9183,1.6482,
3.3835,6.99329,16.9315,1.64465,
3.3936,6.9743,16.9213,1.64702,
3.4037,6.96391,16.9125,1.64739,
3.4138,6.94506,16.9084,1.64734,
3.4239,6.93256,16.9008,1.64739,
3.434,6.92524,16.9067,1.64491,
3.4441,6.89852,16.8925,1.6481,
