Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
1.1312,-0.912444,19.481,-0.0434059,
1.1413,-0.88958,19.4504,-0.0430445,
1.1514,-0.864292,19.4136,-0.0442198,
1.1615,-0.835285,19.3747,-0.0434377,
1.1716,-0.806781,19.336,-0.0441577,
1.1817,-0.780668,19.301,-0.0442868,
1.1918,-0.757153,19.2735,-0.0429293,
1.2019,-0.73171,19.2404,-0.0431435,
1.212,-0.711088,19.2124,-0.0438625,
1.2221,-0.692905,19.1838,-0.0450312,
1.2322,-0.685612,19.1729,-0.0432736,
1.2423,-0.67967,19.1627,-0.0435876,
1.2524,-0.676949,19.1542,-0.0442536,
1.2625,-0.681305,19.1581,-0.0434598,
1.2726,-0.689932,19.1602,-0.044264,
1.2827,-0.703378,19.1713,-0.0450258,
1.2928,-0.720985,19.1878,-0.0445721,
1.3029,-0.739391,19.2048,-0.0462138,
1.313,-0.763589,19.229,-0.0451847,
1.3231,-0.785443,19.2483,-0.0462871,
1.3332,-0.808682,19.2744,-0.0459073,
1.3433,-0.833801,19.2997,-0.0455582,
1.3534,-0.854477,19.3214,-0.0472379,
1.3635,-0.872972,19.3445,-0.0473203,
1.3736,-0.888007,19.3592,-0.0478623,
1.3837,-0.900688,19.3688,-0.0483553,
1.3938,-0.908634,19.3811,-0.04946,
1.4039,-0.910279,19.3808,-0.0493292,
1.414,-0.90956,19.3751,-0.0527428,
1.4241,-0.902101,19.3743,-0.0504604,
1.4342,-0.891838,19.361,-0.0506644,
1.4443,-0.875993,19.3427,-0.0543946,
1.4544,-0.860088,19.3227,-0.0531578,
1.4645,-0.842422,19.3069,-0.0523575,
1.4746,-0.82139,19.2825,-0.0518094,
1.4847,-0.797541,19.2494,-0.0533626,
1.4948,-0.776129,19.229,-0.052473,
1.5049,-0.755197,19.2055,-0.052037,
1.515,-0.736648,19.183,-0.0518584,
1.5251,-0.718621,19.164,-0.0521524,
1.5352,-0.703168,19.1445,-0.0522052,
1.5453,-0.693332,19.1328,-0.0513586,
1.5554,-0.686078,19.1199,-0.0522369,
1.5655,-0.682143,19.1188,-0.0499912,
1.5756,-0.684854,19.1246,-0.0503182,
1.5857,-0.68782,19.1212,-0.0522956,
1.5958,-0.69703,19.1343,-0.0498728,
1.6059,-0.708008,19.1464,-0.0505872,
1.616,-0.723291,19.1566,-0.0506521,
1.6261,-0.741114,19.1793,-0.0515658,
1.6362,-0.75832,19.1973,-0.0514775,
1.6463,-0.78064,19.2231,-0.0490815,
1.6564,-0.798571,19.2412,-0.0516408,
1.6665,-0.817146,19.258,-0.0520789,
1.6766,-0.835698,19.284,-0.0495352,
1.6867,-0.852388,19.3009,-0.050253,
1.6968,-0.864134,19.3149,-0.0500902,
1.7069,-0.874521,19.3304,-0.0484595,
1.717,-0.879479,19.3344,-0.0501537,
1.7271,-0.881898,19.339,-0.0486571,
1.7372,-0.880864,19.3386,-0.0491048,
1.7473,-0.875415,19.332,-0.0505691,
1.7574,-0.864246,19.3218,-0.0498222,
1.7675,-0.855598,19.3127,-0.0499353,
1.7776,-0.839,19.2938,-0.0503581,
1.7877,-0.823025,19.277,-0.0501123,
1.7978,-0.805364,19.2596,-0.0497837,
1.8079,-0.786828,19.2376,-0.0504023,
1.818,-0.770319,19.2183,-0.0500705,
1.8281,-0.751881,19.2008,-0.0482365,
1.8382,-0.737318,19.182,-0.0499297,
1.8483,-0.722532,19.1656,-0.0493764,
1.8584,-0.711802,19.1522,-0.0485011,
1.8685,-0.704312,19.1482,-0.0485735,
1.8786,-0.698699,19.1395,-0.0482541,
1.8887,-0.698019,19.1366,-0.0485736,
1.8988,-0.701767,19.1468,-0.0468537,
1.9089,-0.705947,19.1431,-0.0493975,
1.919,-0.713581,19.1546,-0.047674,
1.9291,-0.72661,19.1705,-0.0474,
1.9392,-0.737401,19.179,-0.0485553,
1.9493,-0.753702,19.1986,-0.0477416,
1.9594,-0.766218,19.2096,-0.048894,
1.9695,-0.782586,19.2286,-0.047647,
1.9796,-0.797227,19.2438,-0.0497811,
1.9897,-0.814079,19.2638,-0.0484203,
1.9998,-0.824995,19.2748,-0.0503034,
2.0099,-0.835195,19.2856,-0.0511711,
2.02,-0.843215,19.293,-0.051809,
2.0301,-0.84958,19.3038,-0.0519058,
2.0402,-0.855091,19.3127,-0.0515534,
2.0503,-0.855182,19.3135,-0.0532037,
2.0604,-0.851539,19.3036,-0.0546962,
2.0705,-0.844748,19.3,-0.0526898,
2.0806,-0.837432,19.2912,-0.0537191,
2.0907,-0.826769,19.2843,-0.054488,
2.1008,-0.815807,19.2707,-0.0538085,
2.1109,-0.80006,19.2562,-0.0537847,
2.121,-0.784117,19.2371,-0.0525159,
2.1311,-0.769968,19.2178,-0.0547767,
2.1412,-0.756689,19.209,-0.0527781,
2.1513,-0.745761,19.1967,-0.0517974,
2.1614,-0.731497,19.1799,-0.05233,
2.1715,-0.720756,19.1651,-0.0516788,
2.1816,-0.712284,19.1571,-0.0518659,
2.1917,-0.709117,19.1554,-0.0511709,
2.2018,-0.704879,19.1512,-0.0513617,
2.2119,-0.705649,19.1534,-0.0502663,
2.222,-0.707511,19.1534,-0.0512731,
2.2321,-0.714116,19.1618,-0.0503196,
2.2422,-0.723145,19.1692,-0.0504117,
2.2523,-0.730967,19.1828,-0.0495264,
2.2624,-0.742929,19.1928,-0.0493184,
2.2725,-0.754247,19.204,-0.0512055,
2.2826,-0.767052,19.2202,-0.0485974,
2.2927,-0.780264,19.2344,-0.0496117,
2.3028,-0.792805,19.2503,-0.0495564,
2.3129,-0.804832,19.2623,-0.049559,
2.323,-0.815065,19.2732,-0.0507709,
2.3331,-0.824623,19.2838,-0.0499724,
2.3432,-0.830582,19.2934,-0.0483577,
2.3533,-0.837034,19.3012,-0.0490853,
2.3634,-0.836737,19.2999,-0.050318,
2.3735,-0.837005,19.3024,-0.0488274,
2.3836,-0.831917,19.2944,-0.0511192,
2.3937,-0.826888,19.2925,-0.0490635,
2.4038,-0.820042,19.285,-0.0506673,
2.4139,-0.811073,19.2793,-0.0491981,
2.424,-0.79932,19.263,-0.0494744,
2.4341,-0.788232,19.2511,-0.0495261,
2.4442,-0.776019,19.2387,-0.0496282,
2.4543,-0.764773,19.2268,-0.0500861,
2.4644,-0.755368,19.2205,-0.0480335,
2.4745,-0.742639,19.202,-0.0492253,
2.4846,-0.73226,19.1907,-0.0493535,
2.4947,-0.726947,19.1861,-0.0488095,
2.5048,-0.721449,19.1809,-0.0484073,
2.5149,-0.718253,19.1797,-0.0466935,
2.525,-0.715759,19.1751,-0.0486413,
2.5351,-0.71504,19.1729,-0.0493822,
2.5452,-0.719002,19.1777,-0.047804,
