Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.01,7.04858e-12,-54.1573,0,
0.02,7.04858e-12,-46.5824,0,
0.03,7.04858e-12,-40.0668,0,
0.04,7.04858e-12,-34.4622,0,
0.05,7.04858e-12,-29.6414,0,
0.06,7.04858e-12,-33.3049,0,
0.07,1352.16,21794.2,165019,
0.08,34602.7,-79476.2,120957,
0.09,30542.2,-101716,99403,
0.1,55885.7,-111237,86575.2,
0.11,35330.5,-121252,88813.9,
0.12,38285.7,-116613,35014.1,
0.13,21830.8,-95284.4,9324.03,
0.14,-16184.3,-107245,-7389.26,
0.15,-8572.03,-108559,-5940.58,
0.16,261.994,-105084,-11737.7,
0.17,-594.097,-88694.2,-9476.57,
0.18,19048.2,-85770.8,-9982.98,
0.19,17472,-90471.5,-6164.67,
0.2,17710.8,-98919.2,-5590.94,
0.21,18722,-88584.6,-2846.62,
0.22,16843,-115685,3755.48,
0.23,22437.3,-111619,1499.17,
0.24,1220.44,-109273,15765.3,
0.25,6467.19,-96057,3226.79,
0.26,-11484.6,-115931,-30311.7,
0.27,-15097.5,-97211.3,2831.91,
0.28,14240.8,-85284,14698.7,
0.29,14182.9,-95865,14596.8,
0.3,10989.6,-99284.1,12732.2,
0.31,17834.7,-93737,6187.46,
0.32,3950.53,-79678.3,-9159.16,
0.33,3231.57,-80164.6,-1531.6,
0.34,25548.7,-106660,-817.36,
0.35,69289.1,-107016,334.299,
0.36,29113.9,-108552,-12725.6,
0.37,20741.6,-113435,-1778.86,
0.38,19263.1,-110324,-5634.87,
0.39,20355.8,-111178,-8947.96,
0.4,21186.4,-107523,-12522,
0.41,19987.2,-98592.9,-12693.3,
0.42,17701.4,-90029.6,-8773.25,
0.43,1031.44,-106851,22949.7,
0.44,-3490.68,-109425,23354.9,
0.45,4946.34,-96298.1,25347.3,
0.46,39397.1,-116943,15518.7,
0.47,19620.4,-107459,6803.94,
0.48,33159,-104585,-25561.3,
0.49,24839.6,-103765,-18688,
0.5,3839.88,-85110.4,-13803.4,
0.51,-16405.5,-110383,11570.6,
0.52,-29972.7,-92939.7,-25727.7,
0.53,-35887.8,-125359,-42568.5,
0.54,-37065.5,-103286,-34530.8,
0.55,-52004.2,-111013,-13742.4,
0.56,-40240.5,-92579.8,-13949,
0.57,-48121.9,-86412.2,-37277.3,
0.58,-62894.6,-85409,-50449.5,
0.59,-46634.1,-99104.4,-41564.1,
0.6,-37065.2,-98397.3,-34834.7,
0.61,-30832.7,-89622.7,-29334.1,
0.62,-49152.3,-101420,-65781.6,
0.63,-45456.9,-81361.8,-19287.2,
0.64,-20726.6,-92943.1,-33378.9,
0.65,-6264.1,-112737,-36068.6,
0.66,-34202,-104231,-21463.3,
0.67,-31562.2,-110581,-24331,
0.68,-23776.1,-109817,-23134.7,
0.69,-17204.6,-104946,-22275.5,
0.7,-12386.6,-99011.5,-23241.5,
0.71,-9603.11,-103526,-18573.8,
0.72,-9372.5,-91499.8,-15436.1,
0.73,-15693.6,-97674.7,-29081,
0.74,-12486.3,-81448.3,-23169.8,
0.75,-14026.8,-92891.8,-18224.3,
0.76,-16829.2,-87920.7,-11119.8,
0.77,-26461.7,-78482.3,-13640,
0.78,25107.1,-111610,-19968.4,
0.79,11699,-111379,-28990.1,
0.8,16063.4,-114146,-14401.2,
0.81,21716.8,-115148,-4554.85,
0.82,12199.5,-97533,11213.4,
0.83,14196.1,-109137,12178.7,
0.84,28481.8,-102858,991.578,
0.85,25414.4,-112096,7034.63,
0.86,31450.4,-111645,10751.7,
0.87,31436.3,-111011,11008,
0.88,10934,-102189,8980.83,
0.89,16924.8,-105747,3789.39,
0.9,19767.9,-100206,2601.16,
0.91,15234.4,-91700.1,-301.114,
0.92,14062.4,-96609.8,719.242,
0.93,18356.9,-90798.4,2431.2,
0.94,11883.4,-103322,7059.58,
0.95,4520.86,-97881.5,5550.17,
0.96,-10371.9,-101897,8445.14,
0.97,-9089.65,-112718,6547.75,
0.98,-6157.34,-110054,8863.18,
0.99,-2119.9,-105140,12630.5,
1,-1017.6,-94253.4,12417.3,
1.01,6143.05,-109039,2322.79,
1.02,5853.71,-75764.1,307.909,
1.03,7074.63,-78612.4,1544.11,
1.04,-2393.19,-66053.7,3079.98,
1.05,2986.83,-94486,-3998.47,
1.06,7918.03,-56427.6,19871,
1.07,7701.05,-95575.1,12883.6,
1.08,15833.7,-78477.6,10372.7,
1.09,30718.1,-107824,695.53,
1.1,-20241.9,-100284,-13364.9,
1.11,-22688.3,-93989.7,-17274.3,
1.12,-17251.7,-101562,-16896.7,
1.13,-26915.2,-117239,-4163.08,
1.14,15761.7,-46475.2,16625.2,
1.15,25822,-109645,30448,
1.16,7798.46,-116487,-1556.2,
1.17,-19297.2,-109168,-11273.7,
1.18,7590.95,-73749.8,-52569.6,
1.19,4707.36,-69751.2,-46030.5,
1.2,3882.38,-86942.6,-19448.7,
1.21,1562.59,-108013,-17693,
1.22,-1251.2,-98674.6,14151,
1.23,1608.84,-85170.6,12001.6,
1.24,11826.1,-104579,10568.3,
1.25,-27990.2,-88034.9,11278.3,
1.26,-7065.47,-98871,-1818.53,
1.27,-3404.44,-80461.6,-3750.48,
1.28,-49428.8,-102824,2070.73,
1.29,-42525.4,-114427,3517.14,
1.3,-37020.6,-102608,-136.287,
1.31,-16492.1,-119880,-6212.99,
1.32,-19186.3,-104317,1169.37,
1.33,-13956.8,-92414.4,-7850.45,
1.34,20489.9,-92564.6,-1461.07,
1.35,32460.1,-105511,-10781.5,
1.36,26582.9,-103492,-6165.14,
1.37,37179.8,-113131,-12778.1,
1.38,26583.5,-101933,-19103,
1.39,20284,-99126.3,-11384.6,
1.4,28799.5,-106360,17910.2,
1.41,14351.8,-111434,-5204.68,
1.42,10840.8,-107769,-33293.4,
1.43,15914.1,-98871.1,-17073.2,
1.44,12956.2,-83176.6,-7888.52,
1.45,10214.1,-101467,-24643.8,
1.46,29612.3,-102795,-29823.5,
1.47,20590.1,-107561,-17732,
