CombinedSpineCont... started logging at time 02242018_124628 with 4 abstract markers.
time (sec),rot vert pos (rad),0_abstractMarker((0.5  0.5  0.5)).X,0_abstractMarker((0.5  0.5  0.5)).Y,0_abstractMarker((0.5  0.5  0.5)).Z,1_abstractMarker((0.2  0.7  0.2)).X,1_abstractMarker((0.2  0.7  0.2)).Y,1_abstractMarker((0.2  0.7  0.2)).Z,2_abstractMarker((0.5  0.2  0)).X,2_abstractMarker((0.5  0.2  0)).Y,2_abstractMarker((0.5  0.2  0)).Z,3_abstractMarker((0  0.7  0.7)).X,3_abstractMarker((0  0.7  0.7)).Y,3_abstractMarker((0  0.7  0.7)).Z,
24.5329,0.0382242,-66.9579,2.75,-6.36924,-65.0595,2.75,8.61095,1.09165,2.75,-8.00998,0.0719083,2.7518,7.05555,
24.543,0.0381879,-66.9581,2.75001,-6.36856,-65.0595,2.75,8.6116,1.09119,2.75,-8.01083,0.071958,2.75238,7.05473,
24.5531,0.038155,-66.9583,2.75,-6.36788,-65.0595,2.75,8.61225,1.09073,2.74999,-8.01171,0.0721102,2.75306,7.05389,
24.5632,0.0381109,-66.9586,2.75001,-6.36724,-65.0595,2.75,8.61287,1.09027,2.74999,-8.01259,0.0724977,2.75386,7.05307,
24.5733,0.0381151,-66.9589,2.75001,-6.36644,-65.0595,2.75001,8.61362,1.08982,2.75,-8.0135,0.0730107,2.75476,7.05222,
24.5834,0.0381622,-66.9593,2.75,-6.36565,-65.0594,2.75,8.61436,1.08938,2.75,-8.01439,0.0734801,2.75574,7.0514,
24.5935,0.0382698,-66.9597,2.75,-6.36481,-65.0594,2.75,8.61513,1.08891,2.75,-8.0153,0.0739861,2.75678,7.05055,
24.6036,0.0384397,-66.96,2.75001,-6.36405,-65.0593,2.75,8.61584,1.08846,2.75,-8.0162,0.0744976,2.7579,7.04972,
24.6137,0.0386599,-66.9603,2.75,-6.36327,-65.0592,2.75001,8.61658,1.08798,2.74999,-8.01712,0.0748911,2.75905,7.04885,
24.6238,0.0389064,-66.9605,2.75001,-6.36262,-65.0592,2.75,8.61719,1.0875,2.74999,-8.01804,0.0753132,2.76029,7.048,
24.6339,0.0391748,-66.9607,2.75,-6.36189,-65.0591,2.75,8.61789,1.08702,2.75,-8.01898,0.0758421,2.76162,7.04712,
24.644,0.0394133,-66.9606,2.75002,-6.36148,-65.0591,2.75,8.61832,1.08655,2.75,-8.01991,0.0763461,2.76305,7.04626,
24.6541,0.0396401,-66.9605,2.74999,-6.36099,-65.0592,2.75,8.61883,1.08605,2.75,-8.02086,0.0769321,2.76461,7.04537,
24.6642,0.0398108,-66.9604,2.75,-6.36055,-65.0592,2.74998,8.61928,1.08559,2.75,-8.02181,0.07767,2.76633,7.04451,
