Time,FP_RearRight_Fx,FP_RearRight_Fy,FP_RearRight_Fz,
0.0101,1.06866e-11,-27.2472,2.13731e-11,
0.0202,1.06866e-11,26.6254,2.13731e-11,
0.0303,1.06866e-11,80.2608,2.13731e-11,
0.0404,1.06866e-11,131.065,2.13731e-11,
0.0505,1.06866e-11,178.848,2.13731e-11,
0.0606,1.06866e-11,223.743,2.13731e-11,
0.0707,1.06866e-11,265.919,2.13731e-11,
0.0808,1.06866e-11,305.539,2.13731e-11,
0.0909,1.06866e-11,342.758,2.13731e-11,
0.101,1.06866e-11,377.721,2.13731e-11,
0.1111,1.06866e-11,410.566,2.13731e-11,
0.1212,1.06866e-11,441.42,2.13731e-11,
0.1313,1.06866e-11,470.405,2.13731e-11,
0.1414,1.06866e-11,497.633,2.13731e-11,
0.1515,1.06866e-11,523.211,2.13731e-11,
0.1616,1.06866e-11,547.238,2.13731e-11,
0.1717,1.06866e-11,569.81,2.13731e-11,
0.1818,1.06866e-11,591.014,2.13731e-11,
0.1919,1.06866e-11,610.933,2.13731e-11,
0.202,1.06866e-11,629.644,2.13731e-11,
0.2121,1.06866e-11,647.222,2.13731e-11,
0.2222,1.06866e-11,663.735,2.13731e-11,
0.2323,1.06866e-11,679.247,2.13731e-11,
0.2424,1.06866e-11,693.818,2.13731e-11,
0.2525,1.06866e-11,707.507,2.13731e-11,
0.2626,1.06866e-11,720.366,2.13731e-11,
0.2727,1.06866e-11,732.446,2.13731e-11,
0.2828,1.06866e-11,743.794,2.13731e-11,
0.2929,1.06866e-11,754.454,2.13731e-11,
0.303,1.06866e-11,764.468,2.13731e-11,
0.3131,1.06866e-11,773.876,2.13731e-11,
0.3232,1.06866e-11,782.713,2.13731e-11,
0.3333,1.06866e-11,791.014,2.13731e-11,
0.3434,3.23664,826.374,-0.0232021,
0.3535,3.7181,837.799,-0.0266535,
0.3636,3.58653,843.561,-0.0257103,
0.3737,3.59647,850.12,-0.00838957,
0.3838,3.65224,856.782,0.0513437,
0.3939,3.41674,861.861,0.0122874,
0.404,3.04451,866.843,0.00434081,
0.4141,2.66621,871.523,0.00297448,
0.4242,2.32043,875.814,0.00205262,
0.4343,2.00164,879.795,0.00147431,
0.4444,1.69545,883.593,0.0008286,
0.4545,1.42719,887.015,-0.000365984,
0.4646,1.20526,889.997,-0.00108596,
0.4747,1.00367,892.746,-0.00097011,
0.4848,0.799633,895.446,-0.000555708,
0.4949,0.615025,897.931,-6.62909e-05,
0.505,0.439765,900.281,6.74469e-05,
0.5151,0.275899,902.478,-0.00162699,
0.5252,0.127851,904.491,-0.00559258,
0.5353,-0.00438811,906.323,-0.0113827,
0.5454,-0.126387,908.025,-0.0186354,
0.5555,-0.248294,909.683,-0.0266909,
0.5656,-0.354943,911.179,-0.03263,
0.5757,-0.454937,912.587,-0.0363589,
0.5858,-0.55139,913.932,-0.0387672,
0.5959,-0.64182,915.195,-0.0403465,
0.606,-0.726979,916.386,-0.041232,
