Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
1.3736,-1.16724,939.128,-0.00489268,
1.3837,-1.17958,939.151,-0.00679284,
1.3938,-1.18676,939.169,-0.00715619,
1.4039,-1.19135,939.186,-0.00697221,
1.414,-1.19039,939.191,-0.00852836,
1.4241,-1.18372,939.194,-0.00907427,
1.4342,-1.1763,939.193,-0.00880189,
1.4443,-1.16144,939.185,-0.00919473,
1.4544,-1.14547,939.173,-0.00917044,
1.4645,-1.12512,939.155,-0.0107465,
1.4746,-1.1034,939.138,-0.0103251,
1.4847,-1.08079,939.117,-0.0113367,
1.4948,-1.05792,939.098,-0.0102498,
1.5049,-1.03481,939.076,-0.0108542,
1.515,-1.01382,939.059,-0.0105296,
1.5251,-0.995031,939.04,-0.0109169,
1.5352,-0.979392,939.027,-0.0113454,
1.5453,-0.967135,939.018,-0.0101539,
1.5554,-0.958376,939.011,-0.0102244,
1.5655,-0.954476,939.012,-0.00982356,
1.5756,-0.953789,939.011,-0.0102835,
1.5857,-0.96013,939.025,-0.00874425,
1.5958,-0.968868,939.035,-0.0091477,
1.6059,-0.980778,939.051,-0.00896044,
1.616,-0.996976,939.072,-0.00854036,
1.6261,-1.01322,939.091,-0.00948171,
1.6362,-1.03353,939.119,-0.00832756,
1.6463,-1.05288,939.14,-0.0102081,
1.6564,-1.07291,939.167,-0.00853907,
1.6665,-1.09104,939.187,-0.0103894,
1.6766,-1.10749,939.206,-0.0114583,
1.6867,-1.12278,939.224,-0.0123931,
1.6968,-1.13354,939.236,-0.0146866,
1.7069,-1.14338,939.25,-0.0137789,
1.717,-1.14854,939.255,-0.0150443,
1.7271,-1.15059,939.259,-0.0159809,
1.7372,-1.14791,939.255,-0.0171542,
1.7473,-1.14209,939.248,-0.017891,
1.7574,-1.13333,939.241,-0.0177458,
1.7675,-1.12069,939.228,-0.0186792,
1.7776,-1.10773,939.217,-0.0183446,
1.7877,-1.0904,939.201,-0.0172273,
1.7978,-1.07006,939.177,-0.0183977,
1.8079,-1.05017,939.155,-0.0197897,
1.818,-1.03127,939.134,-0.0194271,
1.8281,-1.01462,939.117,-0.0187807,
1.8382,-0.99636,939.096,-0.0190375,
1.8483,-0.982068,939.08,-0.0187427,
1.8584,-0.970283,939.067,-0.0193177,
1.8685,-0.961838,939.06,-0.0178537,
1.8786,-0.958463,939.058,-0.0166718,
1.8887,-0.956163,939.056,-0.0168318,
1.8988,-0.957338,939.057,-0.0160208,
1.9089,-0.964746,939.068,-0.0146056,
1.919,-0.972362,939.076,-0.0148883,
1.9291,-0.985155,939.091,-0.0140915,
1.9392,-1.00013,939.111,-0.0126759,
1.9493,-1.01462,939.125,-0.0132289,
1.9594,-1.03211,939.146,-0.0128448,
1.9695,-1.04773,939.162,-0.0139428,
1.9796,-1.06454,939.183,-0.0133234,
1.9897,-1.07934,939.2,-0.0133671,
1.9998,-1.09321,939.214,-0.0140881,
2.0099,-1.1058,939.231,-0.0137856,
2.02,-1.11565,939.241,-0.0136229,
2.0301,-1.12291,939.251,-0.0129976,
2.0402,-1.12726,939.258,-0.0129109,
2.0503,-1.1289,939.261,-0.0121671,
2.0604,-1.12642,939.261,-0.0114343,
2.0705,-1.12057,939.255,-0.0120831,
2.0806,-1.1111,939.244,-0.0121878,
2.0907,-1.09995,939.232,-0.013144,
2.1008,-1.08716,939.219,-0.0126918,
2.1109,-1.07279,939.202,-0.0126085,
2.121,-1.0571,939.186,-0.0130788,
2.1311,-1.04185,939.171,-0.0117482,
2.1412,-1.0258,939.154,-0.0123119,
2.1513,-1.01217,939.14,-0.0116154,
2.1614,-0.99814,939.123,-0.0115485,
2.1715,-0.987012,939.112,-0.0119727,
2.1816,-0.979306,939.105,-0.0104729,
2.1917,-0.972114,939.094,-0.0107814,
2.2018,-0.969394,939.095,-0.010139,
2.2119,-0.967653,939.092,-0.0105269,
2.222,-0.971813,939.097,-0.00986224,
2.2321,-0.977133,939.105,-0.00953068,
2.2422,-0.983617,939.111,-0.0100449,
2.2523,-0.994392,939.125,-0.00933925,
2.2624,-1.00435,939.136,-0.00950927,
2.2725,-1.01787,939.15,-0.00956456,
2.2826,-1.03034,939.166,-0.0102998,
2.2927,-1.04559,939.18,-0.00991032,
2.3028,-1.0575,939.195,-0.0107677,
2.3129,-1.07138,939.213,-0.0094829,
2.323,-1.0802,939.221,-0.0115631,
2.3331,-1.08957,939.231,-0.0113112,
2.3432,-1.09722,939.24,-0.0120249,
2.3533,-1.10012,939.243,-0.0123253,
2.3634,-1.10176,939.242,-0.0143931,
2.3735,-1.09905,939.242,-0.0134927,
2.3836,-1.09697,939.237,-0.0148236,
2.3937,-1.09142,939.234,-0.0146916,
2.4038,-1.08074,939.221,-0.0146853,
2.4139,-1.07017,939.206,-0.016278,
2.424,-1.05866,939.197,-0.0142317,
2.4341,-1.04642,939.181,-0.0165818,
2.4442,-1.03462,939.175,-0.013564,
2.4543,-1.01956,939.157,-0.0134538,
2.4644,-1.00694,939.141,-0.0148069,
2.4745,-0.995124,939.131,-0.0137414,
2.4846,-0.986379,939.118,-0.0147997,
2.4947,-0.979794,939.117,-0.0124278,
2.5048,-0.971368,939.104,-0.0124259,
2.5149,-0.969674,939.105,-0.0113789,
2.525,-0.968007,939.104,-0.0108324,
2.5351,-0.969791,939.108,-0.0104482,
2.5452,-0.973998,939.114,-0.0103868,
2.5553,-0.977586,939.116,-0.0105052,
2.5654,-0.986461,939.125,-0.0105264,
2.5755,-0.99486,939.137,-0.00978283,
2.5856,-1.00588,939.146,-0.0104734,
2.5957,-1.01606,939.159,-0.0119984,
2.6058,-1.02667,939.168,-0.0120888,
2.6159,-1.03743,939.182,-0.0125812,
2.626,-1.04891,939.196,-0.0114955,
2.6361,-1.0573,939.202,-0.0135912,
2.6462,-1.0668,939.217,-0.0130807,
2.6563,-1.07185,939.222,-0.0130858,
2.6664,-1.07527,939.226,-0.0131511,
2.6765,-1.07791,939.23,-0.0149345,
2.6866,-1.07869,939.232,-0.0139647,
2.6967,-1.07748,939.232,-0.0130201,
2.7068,-1.07244,939.224,-0.0151599,
2.7169,-1.06568,939.215,-0.0148441,
2.727,-1.0599,939.207,-0.0156613,
2.7371,-1.05153,939.203,-0.0136771,
2.7472,-1.04126,939.19,-0.0140104,
2.7573,-1.03063,939.18,-0.014438,
2.7674,-1.02055,939.17,-0.0129514,
2.7775,-1.01092,939.159,-0.0132233,
2.7876,-1.00076,939.15,-0.0125597,
2.7977,-0.991501,939.138,-0.0129112,
2.8078,-0.983594,939.131,-0.0126348,
