Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.0101,-1.06866e-11,-887.947,2.13731e-11,
0.0202,-1.06866e-11,-650.52,2.13731e-11,
0.0303,-1.06866e-11,-338.309,2.13731e-11,
0.0404,-1.06866e-11,-21.757,2.13731e-11,
0.0505,-1.06866e-11,240.799,2.13731e-11,
0.0606,-1.06866e-11,411.516,2.13731e-11,
0.0707,-1.06866e-11,476.176,2.13731e-11,
0.0808,-1.06866e-11,442.44,2.13731e-11,
0.0909,-1.06866e-11,334.454,2.13731e-11,
0.101,-1.06866e-11,185.441,2.13731e-11,
0.1111,-1.06866e-11,29.9986,2.13731e-11,
0.1212,-1.06866e-11,-102.44,2.13731e-11,
0.1313,-1.06866e-11,-192.012,2.13731e-11,
0.1414,-1.06866e-11,-230.282,2.13731e-11,
0.1515,-1.06866e-11,-219.686,2.13731e-11,
0.1616,-1.06866e-11,-171.095,2.13731e-11,
0.1717,-1.06866e-11,-100.299,2.13731e-11,
0.1818,-1.06866e-11,-24.2315,2.13731e-11,
0.1919,-1.06866e-11,42.3153,2.13731e-11,
0.202,-1.06866e-11,88.9873,2.13731e-11,
0.2121,-1.06866e-11,110.939,2.13731e-11,
0.2222,-1.06866e-11,108.706,2.13731e-11,
0.2323,-1.06866e-11,87.1212,2.13731e-11,
0.2424,-1.06866e-11,53.6513,2.13731e-11,
0.2525,-1.06866e-11,16.5561,2.13731e-11,
0.2626,-1.06866e-11,-16.7576,2.13731e-11,
0.2727,-1.06866e-11,-40.9264,2.13731e-11,
0.2828,-1.06866e-11,-53.2311,2.13731e-11,
0.2929,-1.06866e-11,-53.6069,2.13731e-11,
0.303,-1.06866e-11,-44.1694,2.13731e-11,
0.3131,-1.06866e-11,-28.4305,2.13731e-11,
0.3232,-1.06866e-11,-10.405,2.13731e-11,
0.3333,-1.06866e-11,6.21202,2.13731e-11,
0.3434,-1.06866e-11,18.6577,2.13731e-11,
0.3535,-1.06866e-11,25.4335,2.13731e-11,
0.3636,-1.06866e-11,26.3455,2.13731e-11,
0.3737,-1.06866e-11,22.3015,2.13731e-11,
0.3838,-1.06866e-11,14.944,2.13731e-11,
0.3939,-1.06866e-11,6.21687,2.13731e-11,
0.404,-1.06866e-11,-2.04264,2.13731e-11,
0.4141,-1.06866e-11,-8.41877,2.13731e-11,
0.4242,-1.06866e-11,-12.0973,2.13731e-11,
0.4343,-1.06866e-11,-12.9033,2.13731e-11,
0.4444,-1.06866e-11,-11.2163,2.13731e-11,
0.4545,-1.06866e-11,-7.79922,2.13731e-11,
0.4646,-1.06866e-11,-3.58998,2.13731e-11,
0.4747,-1.06866e-11,0.50125,2.13731e-11,
0.4848,-1.06866e-11,3.75238,2.13731e-11,
0.4949,-1.06866e-11,5.72622,2.13731e-11,
0.505,-1.06866e-11,6.29781,2.13731e-11,
0.5151,-1.06866e-11,5.61996,2.13731e-11,
0.5252,-1.06866e-11,4.04461,2.13731e-11,
0.5353,-1.06866e-11,2.02245,2.13731e-11,
0.5454,-1.06866e-11,0.0028409,2.13731e-11,
0.5555,-1.06866e-11,-1.64755,2.13731e-11,
0.5656,-1.06866e-11,-2.69632,2.13731e-11,
0.5757,-1.06866e-11,-3.06295,2.13731e-11,
0.5858,-1.06866e-11,-2.80569,2.13731e-11,
0.5959,-1.06866e-11,-2.08551,2.13731e-11,
0.606,-1.06866e-11,-1.11808,2.13731e-11,
0.6161,-1.06866e-11,-0.124511,2.13731e-11,
0.6262,-1.06866e-11,0.709798,2.13731e-11,
0.6363,-1.06866e-11,1.26234,2.13731e-11,
0.6464,-1.06866e-11,1.48427,2.13731e-11,
0.6565,-1.06866e-11,1.39576,2.13731e-11,
0.6666,-1.06866e-11,1.06973,2.13731e-11,
0.6767,-1.06866e-11,0.60894,2.13731e-11,
0.6868,-1.06866e-11,0.121812,2.13731e-11,
0.6969,-1.06866e-11,-0.29828,2.13731e-11,
0.707,12.5181,121.454,-5.19413,
0.7171,65.3522,629.994,-22.6483,
0.7272,105.588,992.458,-29.0199,
0.7373,127.533,1138.49,-28.7737,
0.7474,132,1073.35,-27.9428,
0.7575,119.718,853.238,-25.9302,
0.7676,93.2601,545.14,-23.2291,
0.7777,56.5447,221.359,-18.9656,
0.7878,15.9307,-59.1337,-13.5083,
0.7979,-22.3609,-258.893,-7.59012,
0.808,-53.9443,-359.686,-1.89803,
0.8181,-75.273,-368.551,2.98377,
0.8282,-84.8643,-306.306,6.65988,
0.8383,-84.6607,-192.517,8.98976,
0.8484,-77.1652,-53.4323,10.0007,
0.8585,-64.9675,83.4688,9.84723,
0.8686,-50.4155,194.52,8.77125,
0.8787,-35.511,264.09,7.05561,
0.8888,-21.8867,286.729,4.99982,
0.8989,-10.7159,266.413,2.88646,
0.909,-2.65785,214.038,0.952922,
0.9191,1.92162,145.252,-0.625049,
0.9292,3.07412,76.0025,-1.74678,
0.9393,1.4939,17.8354,-2.39305,
0.9494,-1.90103,-22.113,-2.6031,
0.9595,-6.26028,-40.7827,-2.45865,
0.9696,-10.854,-39.2033,-2.08376,
0.9797,-14.7934,-23.0589,-2.08466,
0.9898,-16.3147,2.04262,-2.9991,
0.9999,-15.3711,31.7377,-3.98197,
1.01,-12.6399,59.9358,-4.88048,
1.0201,-8.63829,81.8943,-5.51228,
1.0302,-3.93929,94.8226,-5.84918,
1.0403,0.837345,98.0866,-5.80281,
